#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5235.0325455459915    All      0.6780307106251622         0.32334700155960405       -0.8531578968646385       -0.1536046713146624       
Zeropoint     AB|SDSS|SDSS_u            3046.7349945199867    All      -0.0923062650379119        0.03526737284662573       0.03577256992263116       0.043151296405191567      
Zeropoint     AB|SDSS|SDSS_g            4006.2970171432376    All      -0.7434728440651139        0.5634160778141606        0.13039711911839924       0.4315157417584675        
Zeropoint     AB|SDSS|SDSS_z            7547.70883750115      All      0.10677827827904057        0.006911964700861972      0.16410159954151665       -0.025206643140387893     
Zeropoint     AB|SDSS|SDSS_i            6348.391951977096     All      1.042718813636422          0.07117025382576969       0.5271404981667308        -0.2929414695641076       
Check         All|All|All               All                   All      0.991748693437599          1.000112670747022         0.004253889884639261      0.002914254144501194      
Lambda        AB|SDSS|SDSS_r            5235.0325455459915    All      8.782231074943022e-05      5.678806735990361e-05     -0.001520176747450694     -7.794738038771065e-05    
Lambda        AB|SDSS|SDSS_u            3046.7349945199867    All      -8.680443641086421e-05     3.395135928923222e-05     4.08866013627514e-05      4.1158716640649304e-05    
Lambda        AB|SDSS|SDSS_g            4006.2970171432376    All      -0.0005725166965254451     0.00033752906267811003    -0.0007669123450177685    0.00026220806773163545    
Lambda        AB|SDSS|SDSS_z            7547.70883750115      All      -1.2465000082791745e-05    -5.63210080166677e-07     -1.52295807970354e-05     3.197178317078573e-06     
Lambda        AB|SDSS|SDSS_i            6348.391951977096     All      -0.000267818598837202      -3.014953600369109e-05    -0.0003698315820587888    6.091274791252666e-05     
MWEBV         All|All|All               All                   All      -0.7612380174610562        -3.2440365620972855       0.13136620183656375       -0.8028668973891272       
Redshift      All|All|All               All                   All      4.520690147052619          -0.3783653915975904       -3.099696492559041        -1.7341087811500973       
