#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3415.9848011138615    All      -0.45165660710635097       0.1432401342412959         -0.3862592062871928       0.17654046582615684       
Zeropoint     AB|PS|PS_i                5254.340841617246     All      1.2252234286980523         0.37011914600881823        1.5875006263606994        -0.20769273513935455      
Zeropoint     AB|PS|PS_r                4338.068800154634     All      -0.5830214731984886        0.5413709540047051         0.2036788765249209        0.37534085774824366       
Zeropoint     AB|PS|PS_z                6038.51972204576      All      0.7982824049285194         -0.054870319198130346      -1.406845482848057        -0.3406809626308904       
Check         All|All|All               All                   All      0.9888277533217322         0.9998599150566889         -0.0019251862496294514    0.003507625804155534      
Lambda        AB|PS|PS_g                3415.9848011138615    All      -0.0009055146229047422     0.00014899949607904042     -0.0020315464899887522    0.00025283135174440505    
Lambda        AB|PS|PS_i                5254.340841617246     All      0.0003616787917741541      0.00013140626052223468     0.00037092230474766334    -5.845478029364481e-05    
Lambda        AB|PS|PS_r                4338.068800154634     All      -0.00020464002318110598    -1.7811107509555738e-05    -0.001362495659917396     5.440073709022291e-08     
Lambda        AB|PS|PS_z                6038.51972204576      All      -0.0002138791475547354     -4.202730822017797e-06     0.00021025753799841932    7.768133532198732e-05     
MWEBV         All|All|All               All                   All      -0.41417911174229527       -2.490752573491939         -0.008291179901867562     -0.676778291008534        
Redshift      All|All|All               All                   All      1.639450884555929          -0.4699227123644789        -1.9137396875859163       -0.7724937896155304       
