#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3415.9848011138615    All      -0.5322841524937006        0.1438972721780729        -0.4391826984518922       0.20065582898497208       
Zeropoint     AB|PS|PS_i                5254.340841617246     All      1.229760105410214          0.3689663617807426        1.441978119357215         -0.21603998087216064      
Zeropoint     AB|PS|PS_r                4338.068800154634     All      -0.4409119069822106        0.49935577811481835       0.263500533969339         0.31803493754098644       
Zeropoint     AB|PS|PS_z                6038.51972204576      All      0.7331093463033859         -0.012652213046138172     -1.2672567075305834       -0.2994709212642391       
Check         All|All|All               All                   All      0.9896733922376889         0.9995671990274957        -0.0009607526559214374    0.0031798643895588063     
Lambda        AB|PS|PS_g                3415.9848011138615    All      -0.0007117139861379487     0.0001680289571793402     -0.0008993141378903717    0.00024642895974798305    
Lambda        AB|PS|PS_i                5254.340841617246     All      0.0003362234964257246      0.00010546045395736325    0.0002874261196496803     -6.234060719099516e-05    
Lambda        AB|PS|PS_r                4338.068800154634     All      -0.00012975801572317949    -6.398264785391378e-05    -0.001307215045910882     -3.690980241710917e-05    
Lambda        AB|PS|PS_z                6038.51972204576      All      -0.00022672021010307033    -6.142288247431036e-06    0.00019521398264568101    8.056098940654645e-05     
MWEBV         All|All|All               All                   All      -0.46045099286224644       -2.483189820142684        -0.09104259020632233      -0.662935394833454        
Redshift      All|All|All               All                   All      1.423549845009449          -0.268340095917452        -3.257790816324983        -0.6964844569261968       
