#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_u       3478.4939053248922    All      -0.5300908794922945       0.1661289410340938         -0.014042099452503365     0.22615506609165972       
Zeropoint     VEGAHST|UVOT|UVOT_b       4360.1999583679135    All      -0.7749610007549559       0.5339950194306997         -0.2766798315016756       0.4140230890130053        
Zeropoint     VEGAHST|UVOT|UVOT_v       5417.145189051783     All      2.291309338581516         0.3020340398747212         0.29217679152294007       -0.6349339017160105       
Check         All|All|All               All                   All      0.9862574583342657        1.0021580003395147         0.0014548605687611516     0.0052442533886545295     
Lambda        VEGAHST|UVOT|UVOT_u       3478.4939053248922    All      -6.805966385362179e-06    -2.1201876951423895e-05    -8.92025261906009e-05     -8.669920734258646e-06    
Lambda        VEGAHST|UVOT|UVOT_b       4360.1999583679135    All      -0.0004025122852411969    -8.28936682554622e-05      -0.0017991633150224327    2.382190320119264e-05     
Lambda        VEGAHST|UVOT|UVOT_v       5417.145189051783     All      0.0006200434193218773     -0.00015891296263709608    -0.003675363130133915     -0.0004177462966733941    
MWEBV         All|All|All               All                   All      -1.4156030397634374       -3.949447001166684         0.019730535125225827      -0.8244758560557299       
Redshift      All|All|All               All                   All      0.013404062006647788      0.9217639004591494         9.095560559947236         0.7017757769267989        
