#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                5644.611753636443     All      0.3657581062751386        0.04970172038447629        -4.473161851700613         -0.30256663178294674       
Zeropoint     AB|PS|PS_z                6487.036228722048     All      1.0443812442571792        0.163340062821149          2.278450781391439          -0.18530730436006615       
Zeropoint     AB|PS|PS_r                4660.282778667165     All      0.6556096672529055        0.42824293389429613        3.192447695430589          0.06840345306689949        
Zeropoint     AB|PS|PS_g                3669.7101577209305    All      -1.0734815392499863       0.3597508566947738         -1.1025092447193074        0.41765101935446747        
Check         All|All|All               All                   All      0.9922674785352369        1.0010355737946952         -0.10477261959789264       -0.0018194637216459308     
Lambda        AB|PS|PS_i                5644.611753636443     All      -0.0001194825227874579    -2.2776985253911788e-05    -0.00045458859134662495    1.1213974110442505e-05     
Lambda        AB|PS|PS_z                6487.036228722048     All      -0.0004282449460720806    -7.556138877005611e-05     -0.0017592979498217622     3.6371250220339756e-05     
Lambda        AB|PS|PS_r                4660.282778667165     All      -0.0002101162460734303    -0.0001297228482208395     -0.0012339338590724442     -2.8878026332356387e-05    
Lambda        AB|PS|PS_g                3669.7101577209305    All      -0.0010476614983480415    0.00040570413169521566     -0.000761443325619888      0.0004394292815743754      
MWEBV         All|All|All               All                   All      -0.5613175738567522       -2.759759890688329         -0.2565846003261374        -0.7275551814580644        
Redshift      All|All|All               All                   All      9.397127869428074         1.3894394615231676         27.24383342246588          -1.3926004003345538        
