#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_u       3489.842064006198    All      -0.5238245939589892       0.13371774481115706        -0.1985798021937879       0.20532146770996657       
Zeropoint     VEGAHST|UVOT|UVOT_v       5434.817959186849    All      2.3622470586168136        0.35400710458740603        0.5169477645449616        -0.6310808176829799       
Zeropoint     VEGAHST|UVOT|UVOT_b       4374.424574640501    All      -0.8104078839210285       0.4864067218347756         -0.3770990605036384       0.40558698191101167       
Check         All|All|All               All                  All      1.028014580736796         0.9741315712333387         -0.05873109815246469      -0.020172368062001622     
Lambda        VEGAHST|UVOT|UVOT_u       3489.842064006198    All      -0.000878207423208565     -0.00023590291810403514    -0.0019949552874213563    0.00012019401652371464    
Lambda        VEGAHST|UVOT|UVOT_v       5434.817959186849    All      0.0011427024274632428     -0.0004004411458900955     -0.00424226512256934      -0.0006919654381580905    
Lambda        VEGAHST|UVOT|UVOT_b       4374.424574640501    All      -0.0005962203768468803    0.00031464551376440706     -0.0002860346591329239    0.0002839345740423703     
MWEBV         All|All|All               All                  All      -1.3325003959002553       -3.9200917524581325        0.21758888712583024       -0.8331536413751266       
Redshift      All|All|All               All                  All      -0.23173823869778643      0.6502151100902687         11.567019373918152        0.8034641703631409        
