#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_u       3489.842064006198    All      -0.5362141767056932       0.1806077404470141        -0.06439482320878663       0.23061883595215096       
Zeropoint     VEGAHST|UVOT|UVOT_v       5434.817959186849    All      2.4384101756509606        0.27085827419428554       0.2955459969654636         -0.6928541041929662       
Zeropoint     VEGAHST|UVOT|UVOT_b       4374.424574640501    All      -0.9114959333500539       0.5517195991782131        -0.22465092640344972       0.46659229824462356       
Check         All|All|All               All                  All      0.9907000655952135        1.0031856138195128        0.006500247353227212       0.004357030003808271      
Lambda        VEGAHST|UVOT|UVOT_u       3489.842064006198    All      -0.0007478014159998827    0.00015605626425338278    -0.0004202381087432558     0.0002756628857835308     
Lambda        VEGAHST|UVOT|UVOT_v       5434.817959186849    All      0.000848406039233327      -0.0008196307299705026    -0.00640331836468061       -0.0008290851417475809    
Lambda        VEGAHST|UVOT|UVOT_b       4374.424574640501    All      -0.000612091619047024     0.0003820199405749084     -0.00011160544141689159    0.0003188344020025467     
MWEBV         All|All|All               All                  All      -1.315047991908417        -3.9764122663228374       0.046519780891398264       -0.8648179362971659       
Redshift      All|All|All               All                  All      -0.9165825800984471       0.4877029846731773        10.338489750059527         0.9187813226481367        
