#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7005.831773618232    All      0.36768149021351393        -0.050157360424130104     -0.23102525364206428       -0.1464134561519892       
Zeropoint     AB|PS|PS_i                6096.035073501595    All      1.3209265360437912         -0.009125585598646069     -0.18813650846059016       -0.44163740172688537      
Zeropoint     AB|PS|PS_g                3963.192298680231    All      -0.9416807536685495        0.5486340486990926        -0.32579305359626          0.4709059133631774        
Zeropoint     AB|PS|PS_r                5032.985174381275    All      0.24814296737575514        0.5096709712928416        0.7416515939603269         0.1182847792474434        
Check         All|All|All               All                  All      0.9950702399645106         0.999022073969158         -0.0033032217385875473     0.0011398347317462254     
Lambda        AB|PS|PS_z                7005.831773618232    All      -0.00020879760619334323    3.8466651137192043e-07    -0.00043889294044033186    4.855177194279794e-05     
Lambda        AB|PS|PS_i                6096.035073501595    All      -0.0002488954174035972     -3.662156309166572e-05    -0.0011236202109801434     1.9002568536694413e-05    
Lambda        AB|PS|PS_g                3963.192298680231    All      -0.0008123232832084585     0.000446751133842515      -0.00042288123565512075    0.0003912507126274339     
Lambda        AB|PS|PS_r                5032.985174381275    All      -0.00016404026729553012    -5.67924514449068e-05     -0.0015992379325031106     -3.643250192257421e-05    
MWEBV         All|All|All               All                  All      -0.5222244077504481        -3.118574691782605        -0.0035596953708152967     -0.8458755577517781       
Redshift      All|All|All               All                  All      4.764346156708699          -0.601727080526615        -0.7918541346771113        -1.7832434051094719       
