#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7005.831773618232    All      0.331683606970424          -0.0353966939519168       -0.12027942555279646       -0.12493764893259736      
Zeropoint     AB|PS|PS_i                6096.035073501595    All      1.2826182874810697         0.010922984123951096      -0.02024604664599675       -0.4151364859112769       
Zeropoint     AB|PS|PS_g                3963.192298680231    All      -0.8959608068645758        0.5067433086631823        -0.3646995338261085        0.44063201283178544       
Zeropoint     AB|PS|PS_r                5032.985174381275    All      0.2774367258365543         0.5163724978320516        0.5032059794408827         0.10028501341332192       
Check         All|All|All               All                  All      0.9957778134234719         0.9986420966672682        -0.002019026584018979      0.0008428914012331284     
Lambda        AB|PS|PS_z                7005.831773618232    All      -0.00019025410546309399    -4.517412649332037e-08    -0.0003365873570692815     4.693695876811372e-05     
Lambda        AB|PS|PS_i                6096.035073501595    All      -0.00027739550641467386    -3.867747486478232e-05    -0.001060354763073336      3.0439553423076376e-05    
Lambda        AB|PS|PS_g                3963.192298680231    All      -0.0006740372041505749     0.0003613273518010695     -0.00047759031463236184    0.0003159396361065182     
Lambda        AB|PS|PS_r                5032.985174381275    All      -0.00028566036701348186    -8.991840478225619e-05    -0.0018117367865163065     -1.708989495814604e-05    
MWEBV         All|All|All               All                  All      -0.5270219384720343        -3.1147895145375415       0.003217105371392476       -0.8427774699119306       
Redshift      All|All|All               All                  All      5.281598595381885          -0.10391141875754073      1.594439657190913          -1.6830852707180037       
