#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7212.244777156655    All      0.7900837850649176        -0.22371229144511062       0.3941255248285369        -0.3126387229995175       
Zeropoint     AB|PS|PS_i                6275.642713230457    All      1.2621203830559684        0.008441231221745227       -0.06730388005125043      -0.41136800762255527      
Zeropoint     AB|PS|PS_r                5181.272147317232    All      -0.6208306863614871       0.7627083687513192         -0.3700734201804057       0.4341495102762511        
Zeropoint     AB|PS|PS_g                4079.959936329121    All      -0.4363677169575058       0.4536859581483199         0.04524406905057621       0.2919387988813533        
Check         All|All|All               All                  All      0.9950057648018932        1.0011232666762737         0.0019922936474570108     0.0020815785355316474     
Lambda        AB|PS|PS_z                7212.244777156655    All      -7.888886396777115e-05    -0.00014309269807050306    -0.0007590790493266304    -5.478751265813689e-05    
Lambda        AB|PS|PS_i                6275.642713230457    All      -0.0006778303470156965    -0.00048510927890818827    -0.002956433217089609     -6.915644385464766e-05    
Lambda        AB|PS|PS_r                5181.272147317232    All      -0.0005749202631626132    0.0008430532937997704      0.00016358958857423393    0.00046918088944529436    
Lambda        AB|PS|PS_g                4079.959936329121    All      -0.0003427845980230418    0.00042270738858474015     0.0002892964542230631     0.0002622558960378963     
MWEBV         All|All|All               All                  All      -0.5090341147494897       -3.27859472317531          0.022079211317338476      -0.9011517122069528       
Redshift      All|All|All               All                  All      5.522861268148835         -2.7677345142711474        -7.326827999183005        -3.0274824815335686       
