#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7212.244777156655    All      0.7735742486542108        -0.3328641460774051       0.3171923792991976         -0.34624854682984557      
Zeropoint     AB|PS|PS_i                6275.642713230457    All      1.3458575004306876        0.06584275920964444       -0.1637688621300815        -0.4242511646035389       
Zeropoint     AB|PS|PS_r                5181.272147317232    All      -0.7179719109127507       0.8094645124577582        -0.30950233877229466       0.48372462637091357       
Zeropoint     AB|PS|PS_g                4079.959936329121    All      -0.40565118182672855      0.4598520689052421        0.16019982012501272        0.2890718651756018        
Check         All|All|All               All                  All      0.9958086563454192        1.0022951944952396        0.004120998521834146       0.002296780113130892      
Lambda        AB|PS|PS_z                7212.244777156655    All      6.578760722428695e-05     -0.0001516922188537564    -0.0004204370893190269     -8.96025105259772e-05     
Lambda        AB|PS|PS_i                6275.642713230457    All      -0.0002986884031131552    -0.0002235460099295457    -0.0010036830694893461     -2.031341607049867e-05    
Lambda        AB|PS|PS_r                5181.272147317232    All      -0.0007131071079099909    0.000827876757696944      -0.00023680776465587831    0.0004913814989736415     
Lambda        AB|PS|PS_g                4079.959936329121    All      -0.0003880945976873101    0.00045352708640410887    0.00020329834427927886     0.0002832161424292118     
MWEBV         All|All|All               All                  All      -0.5127745837555171       -3.2880946369729713       0.016752107932970876       -0.9032654770132369       
Redshift      All|All|All               All                  All      5.352648692003152         -2.4500024114660235       -5.784660036352684         -2.799722973436317        
