#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5625.26113741443     All      0.6259322117340436         0.3110771126312528        -1.3322335973363695        -0.1620101309243887        
Zeropoint     AB|PS|PS_g                4429.576254535014    All      -0.9563098753506625        0.8805734200457493        0.42675639498036133        0.6173774988627757         
Zeropoint     AB|PS|PS_z                7830.270077487886    All      0.39015160034839214        -0.06973019273832648      0.4056072231653112         -0.1316982421866681        
Zeropoint     AB|PS|PS_i                6813.409537908974    All      0.9383097311389814         -0.12372561978892804      0.4986479310600419         -0.3236874867663465        
Check         All|All|All               All                  All      0.9980836678707546         0.9981947201497476        -0.001222048130655018      -1.8361014627599204e-05    
Lambda        AB|PS|PS_r                5625.26113741443     All      -0.00021781820402613292    -8.147356114440683e-05    -0.0013185993446647238     -1.4431096852554105e-05    
Lambda        AB|PS|PS_g                4429.576254535014    All      -0.00017875644144728521    3.3709406343293545e-05    -0.0006650060966938207     3.953094871124603e-05      
Lambda        AB|PS|PS_z                7830.270077487886    All      -0.0001778342803674469     4.1815543184488395e-05    -1.4034926222412257e-05    7.092085949819701e-05      
Lambda        AB|PS|PS_i                6813.409537908974    All      -0.0006252324771429479     6.120206091609209e-05     -0.00080113711169858       0.000187843242265907       
MWEBV         All|All|All               All                  All      -0.595164129518325         -3.663612671204497        0.09634528413976576        -0.9951951914524508        
Redshift      All|All|All               All                  All      3.7164700862501507         0.9738155379309887        2.0028999833242964         -0.8039925897732031        
