#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5625.26113741443     All      0.6157215141546443         0.30263288180236714       -1.385424699806037        -0.16380840919404047      
Zeropoint     AB|PS|PS_g                4429.576254535014    All      -0.9429412964239476        0.8766303350670412        0.42770854521597124       0.6117810104839013        
Zeropoint     AB|PS|PS_z                7830.270077487886    All      0.3958686491647657         -0.06504298801353059      0.46805583364252223       -0.12924690161865496      
Zeropoint     AB|PS|PS_i                6813.409537908974    All      0.9277327087147503         -0.11621182500007876      0.4848479868297728        -0.3184105405599838       
Check         All|All|All               All                  All      0.9963815756102126         0.998008403855799         -0.004812334117770822     0.0003151591112220964     
Lambda        AB|PS|PS_r                5625.26113741443     All      -0.00019733494294453898    -4.753929777778034e-05    -0.0013670577001562705    -1.221213672789916e-05    
Lambda        AB|PS|PS_g                4429.576254535014    All      -0.00019430738320715032    6.79759859099408e-05      -0.0005511586697561655    6.083864213696953e-05     
Lambda        AB|PS|PS_z                7830.270077487886    All      -0.0001480350716534271     3.418679749995711e-05     -5.064421956883626e-06    5.9129655812798424e-05    
Lambda        AB|PS|PS_i                6813.409537908974    All      -0.0006522441066045207     5.130519335265881e-05     -0.0009839246419153156    0.000185261115314261      
MWEBV         All|All|All               All                  All      -0.5976023592082407        -3.6629342694411093       0.10061770830673833       -0.9939893433859432       
Redshift      All|All|All               All                  All      3.872003757819665          0.8920666062955718        3.7544007894230345        -0.8031219033788721       
