#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6668.227234496666     All      0.9426187954921613         0.11148179034599082       2.074459323778566         -0.17815507419821075       
Zeropoint     AB|PS|PS_g                3772.209735484161     All      -0.714081449211627         0.3984440913015419        0.22162677972586975       0.3722763548324473         
Zeropoint     AB|PS|PS_i                5802.2727940234645    All      0.7516442790149318         -0.006091531902008285     -2.2070410959109          -0.34530958992076005       
Zeropoint     AB|PS|PS_r                4790.45028414866      All      0.015007529913078854       0.4956108851713381        -0.08133097316764815      0.1529188963955347         
Check         All|All|All               All                   All      0.9951891552085448         0.9994452349168625        0.007714034425887473      0.0017305871090111946      
Lambda        AB|PS|PS_z                6668.227234496666     All      -0.0007372704077261956     -9.897387375905739e-05    -0.0016300770106607986    0.00013517133013244586     
Lambda        AB|PS|PS_g                3772.209735484161     All      -0.0007880747237878501     0.000406502192328909      -0.0003560201251395735    0.0003732254589487419      
Lambda        AB|PS|PS_i                5802.2727940234645    All      -0.00028537951782327834    -3.046215624600665e-05    0.0007326689304447114     0.00011573062053687204     
Lambda        AB|PS|PS_r                4790.45028414866      All      -0.00022219199280294508    -7.248126349119986e-05    -0.001456811444160922     -1.6245093986417293e-05    
MWEBV         All|All|All               All                   All      -0.4921828465764886        -2.8804392077496743       0.0787130005409642        -0.7744210684361804        
Redshift      All|All|All               All                   All      6.585303628306431          1.4929032797049047        8.687393687070122         -1.2710838480367816        
