#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6668.227234496666     All      0.976802415013277          0.09875302162356547        2.058527043693862         -0.1941469669067272       
Zeropoint     AB|PS|PS_g                3772.209735484161     All      -0.6544161808367168        0.41455690565364023        0.32563333555934854       0.36273122262605473       
Zeropoint     AB|PS|PS_i                5802.2727940234645    All      0.7031274844364337         -0.02614433422607476       -2.5464053362865813       -0.35118219861034855      
Zeropoint     AB|PS|PS_r                4790.45028414866      All      -0.03073655272157505       0.5122736175952269         0.17059494498916883       0.18448914585678114       
Check         All|All|All               All                   All      0.9947771658914185         0.9994392106463579         0.008349987955798222      0.0018912029657601193     
Lambda        AB|PS|PS_z                6668.227234496666     All      -0.0008030581059805006     -9.758428272551965e-05     -0.0017642431434603941    0.00015106596501658206    
Lambda        AB|PS|PS_g                3772.209735484161     All      -0.0008537393116094398     0.00047568662543877506     -0.0002199925661672849    0.00042322050667208366    
Lambda        AB|PS|PS_i                5802.2727940234645    All      -0.00020697515371604567    -1.6022084286349347e-05    0.001076391896896157      0.00011023412355194458    
Lambda        AB|PS|PS_r                4790.45028414866      All      -0.00015876181542199034    -1.3543066556944537e-05    -0.0010362927847750174    1.057536596374075e-06     
MWEBV         All|All|All               All                   All      -0.48213993615312045       -2.883806168823            0.08573655017234529       -0.7784756759922697       
Redshift      All|All|All               All                   All      5.612809287568613          0.9529612893564021         5.055462434289943         -1.2922637279200289       
