#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_v       5367.960090386694     All      1.7806134247478864        0.35342251001369007        0.23512406708663391       -0.4543905268870774       
Zeropoint     VEGAHST|UVOT|UVOT_u       3446.9108371278107    All      -0.7082356643527541       0.16062044858200508        -0.041549886913605505     0.2811608398786955        
Zeropoint     VEGAHST|UVOT|UVOT_b       4320.611419078757     All      -0.06091222364764742      0.48947339017249014        -0.04552822315797567      0.17724698607410258       
Check         All|All|All               All                   All      1.011465536747485         1.0035163487681853         0.14804595701505274       0.004017299065720709      
Lambda        VEGAHST|UVOT|UVOT_v       5367.960090386694     All      0.0012715238388102568     0.00014655869234691353     -0.0009557582119369127    -0.0004090892578171663    
Lambda        VEGAHST|UVOT|UVOT_u       3446.9108371278107    All      0.0003260138519719651     3.1517243728350304e-05     0.0006505620870655476     -6.689563593343153e-05    
Lambda        VEGAHST|UVOT|UVOT_b       4320.611419078757     All      -0.0002824807221158466    -1.5939812001380913e-05    -0.001476698958901126     2.0922851057006973e-05    
MWEBV         All|All|All               All                   All      -1.645299955088419        -3.8868263332124897        0.049096040166229926      -0.727947954599771        
Redshift      All|All|All               All                   All      -0.1353268695860277       0.25196004897889424        2.6841913508740767        0.24593522268230306       
