#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                5682.791150737546    All      0.42727398804255057        0.06432155160194242        -1.9321595013786597        -0.20444895378810574       
Zeropoint     AB|PS|PS_g                3694.531585211903    All      -0.8062999804955711        0.32828245064404626        -0.8234645481480292        0.3328233837274715         
Zeropoint     AB|PS|PS_z                6530.913672024692    All      0.9933512741601761         0.035976289430017516       0.3932297070274621         -0.29430049344214865       
Zeropoint     AB|PS|PS_r                4691.804306555338    All      0.3785394949160522         0.5671099561578075         2.3285324037531083         0.16533530962733914        
Check         All|All|All               All                  All      0.9928647766232078         0.9956902478338137         -0.03386193874611809       -0.0005907538754437447     
Lambda        AB|PS|PS_i                5682.791150737546    All      -0.00017888994432784915    -2.5541446752839395e-05    0.0006015833525199487      7.679655272646344e-05      
Lambda        AB|PS|PS_g                3694.531585211903    All      -0.00115911302480942       0.00048398307011860716     -0.0010568844658712323     0.00048804655475689516     
Lambda        AB|PS|PS_z                6530.913672024692    All      -0.0005175754209122983     -3.161723502730631e-05     -0.0011387019251604175     0.00010747753164104717     
Lambda        AB|PS|PS_r                4691.804306555338    All      -4.003257190213302e-05     -6.973082209957324e-05     -0.00022999818145401737    -1.9937459627570236e-05    
MWEBV         All|All|All               All                  All      -0.5006567596695137        -2.8024051812058914        -0.11631539691034104       -0.7549458081150145        
Redshift      All|All|All               All                  All      4.318493429642554          0.11707028022094335        -7.309743108659871         -1.6947420049863235        
