#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5682.791150737546    All      0.41095185974519655       0.05803531466348488        -1.9113474550495169       -0.20025118776009626      
Zeropoint     AB|PS|PS_g                3694.531585211903    All      -0.8049469128717281       0.3149073174450123         -0.8157106140160963       0.3283719466438226        
Zeropoint     AB|PS|PS_z                6530.913672024692    All      0.9512509789303751        0.0467028874199471         0.40125002291167          -0.2767351265053841       
Zeropoint     AB|PS|PS_r                4691.804306555338    All      0.438565623901352         0.5758881961371642         2.307814206581704         0.14771762818811263       
Check         All|All|All               All                  All      0.9958215497051955        0.9955337156656086         -0.01799383957223899      -0.0008967394335451795    
Lambda        AB|PS|PS_i                5682.791150737546    All      -0.0002345836724149589    -3.553379021780719e-05     0.0007042682628330255     9.626535316132775e-05     
Lambda        AB|PS|PS_g                3694.531585211903    All      -0.001058647868317917     0.00041962684056071807     -0.0011286473269696388    0.000431156359962148      
Lambda        AB|PS|PS_z                6530.913672024692    All      -0.0004962958994673454    -3.280898223011921e-05     -0.0009975901162367973    0.00010645507208885506    
Lambda        AB|PS|PS_r                4691.804306555338    All      -8.742641204708681e-05    -0.00010753392780907984    -0.0002990157898347129    -1.989338077177482e-05    
MWEBV         All|All|All               All                  All      -0.5187085651475751       -2.7980955869743696        -0.13761429811041115      -0.7486124366996485       
Redshift      All|All|All               All                  All      4.093055262299674         0.34799840499371015        -7.805309349345102        -1.568203334907571        
