#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4007.152231442134    All      -0.8430419519658768        0.562509418049828          -0.1586515820109787        0.450754431035896         
Zeropoint     AB|SDSS|SDSS_u            3047.385373491169    All      -0.06980879410541249       0.030880910297348407       0.05283852974346032        0.03515589022072149       
Zeropoint     AB|SDSS|SDSS_z            7549.32002820771     All      0.08955208216862892        0.004584326947743023       0.12133949507126952        -0.02226196885867165      
Zeropoint     AB|SDSS|SDSS_i            6349.747127479335    All      1.0502045380867455         0.035389746126490707       0.1709334706656608         -0.32293058842966105      
Zeropoint     AB|SDSS|SDSS_r            5236.150054974019    All      0.7655367506320039         0.36685781047260946        -0.18143502618089002       -0.13795945887497602      
Check         All|All|All               All                  All      0.9924426248160892         1.0002222118940196         0.0050248872885219065      0.002758305093308766      
Lambda        AB|SDSS|SDSS_g            4007.152231442134    All      -0.0007059743410389179     0.00037977075343999554     -0.0006754390204826484     0.0003235211559194758     
Lambda        AB|SDSS|SDSS_u            3047.385373491169    All      -6.883823242523903e-05     3.1516402851056795e-05     6.0096630050211624e-05     3.5370642864226325e-05    
Lambda        AB|SDSS|SDSS_z            7549.32002820771     All      -6.76288070964775e-06      -5.430057698554016e-07     -1.2148562839971395e-05    1.4838833324808688e-06    
Lambda        AB|SDSS|SDSS_i            6349.747127479335    All      -0.00029072136794602735    -3.9126121756667084e-05    -0.0005382195876310722     5.79345806787959e-05      
Lambda        AB|SDSS|SDSS_r            5236.150054974019    All      0.00012502703548807867     8.108451771241276e-05      -0.0015673674970420545     -8.425793643987863e-05    
MWEBV         All|All|All               All                  All      -0.7177906624537682        -3.2550704034562727        0.14943948794009232        -0.8198066876725447       
Redshift      All|All|All               All                  All      4.9695842187122            -0.45163796904503783       -2.97152880508501          -1.8984761022976822       
