#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5808.512755547225     All      0.1197533825666226        -0.037119064347912456      -5.192295248882806        -0.28280680651839724      
Zeropoint     AB|PS|PS_z                6675.398472880668     All      0.7635894921186785        0.06568224200531603        1.68655453059543          -0.152068169192765        
Zeropoint     AB|PS|PS_r                4795.602097328724     All      0.8850639922337894        0.5998005622876335         3.784112234884285         0.07594786522247265       
Zeropoint     AB|PS|PS_g                3776.2664981433077    All      -0.7675054010037659       0.3703750911940418         -0.253761734188962        0.35932089075371987       
Check         All|All|All               All                   All      1.0009014659153246        0.9987388311390788         0.0246097824079472        0.00039378026503028574    
Lambda        AB|PS|PS_i                5808.512755547225     All      1.7261492337246733e-05    1.9637999391333858e-05     0.001550510699853335      6.996627782866256e-05     
Lambda        AB|PS|PS_z                6675.398472880668     All      -0.000943911889473683     -0.0001241921832219652     -0.0035295753146468785    0.00010950094076387473    
Lambda        AB|PS|PS_r                4795.602097328724     All      -0.0001519394223061558    -2.7407383957524195e-05    -0.0005321067357810919    1.6818702132450167e-05    
Lambda        AB|PS|PS_g                3776.2664981433077    All      -0.0007751766625692183    0.0003790974298521706      -0.0011696656704552244    0.0003237882395990303     
MWEBV         All|All|All               All                   All      -0.5123130836984902       -2.884634880437531         0.07535301282601825       -0.7693805973882334       
Redshift      All|All|All               All                   All      4.8337091599109705        1.1055440014866136         7.658617213347374         -0.8726171336142563       
