#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5808.512755547225     All      0.1384233986435568        -0.0464108715073408       -5.636948204175647        -0.311757711440704         
Zeropoint     AB|PS|PS_z                6675.398472880668     All      1.1187682867800737        0.06713619550620109       2.986455565895184         -0.2092793741844405        
Zeropoint     AB|PS|PS_r                4795.602097328724     All      0.6154439534847327        0.6013688207209711        3.4776912834794698        0.1506086557240801         
Zeropoint     AB|PS|PS_g                3776.2664981433077    All      -0.8775736722115286       0.37636640151728074       -0.8289172961968779       0.3714587635667222         
Check         All|All|All               All                   All      0.9950619666968342        0.9984605462371121        -0.001718650997871607     0.001030333665657801       
Lambda        AB|PS|PS_i                5808.512755547225     All      2.1035331476431946e-05    1.1519387796662796e-05    0.0015031109584658622     6.397728261565276e-05      
Lambda        AB|PS|PS_z                6675.398472880668     All      -0.0008701657353646453    -6.224078706931028e-05    -0.0021000627368161448    0.00016945158089626164     
Lambda        AB|PS|PS_r                4795.602097328724     All      -6.554927006980298e-05    -2.201388779595078e-05    -0.0005510297548973341    -1.0409020894815173e-05    
Lambda        AB|PS|PS_g                3776.2664981433077    All      -0.0011427026919987766    0.00045057296765380316    -0.0020131744149965857    0.00042914357159545526     
MWEBV         All|All|All               All                   All      -0.4909603230754782       -2.892518712124037        0.07225760750488779       -0.77904205108156          
Redshift      All|All|All               All                   All      6.05456511412791          0.8781304133687939        16.114469429177568        -0.9670203221373908        
