#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6860.390042797476     All      1.0434206795536367         -0.18671538979795343       0.08173110654378091       -0.3970485041547532       
Zeropoint     AB|PS|PS_z                7884.2621411686205    All      0.34196320837798094        -0.057190063757239784      0.17008791296911907       -0.12242711011675941      
Zeropoint     AB|PS|PS_r                5664.049002270489     All      0.611882714629121          0.30449163468944107        -0.333733206988418        -0.11502036784921607      
Zeropoint     AB|PS|PS_g                4460.119513049318     All      -1.000226366771383         0.9381774725685688         0.08207505025470407       0.6350645346009272        
Check         All|All|All               All                   All      0.9970402357893557         0.9987636537028166         0.00016086277918603287    0.000568552480198492      
Lambda        AB|PS|PS_i                6860.390042797476     All      -0.0007750210738257806     -4.435783612661927e-05     -0.0013582815276366655    0.00017738718840812318    
Lambda        AB|PS|PS_z                7884.2621411686205    All      -0.00015385226311677007    5.8418611424284495e-05     0.00010505319957295985    7.383164914741045e-05     
Lambda        AB|PS|PS_r                5664.049002270489     All      -8.882139112016891e-05     -0.00012802349671198876    -0.0007777715883649421    -4.747778931524981e-05    
Lambda        AB|PS|PS_g                4460.119513049318     All      -0.00041811070721443515    0.00021534592024441215     -0.0005854360736368043    0.00018021234051159777    
MWEBV         All|All|All               All                   All      -0.6237518320426823        -3.6956091527720503        0.01728038758554984       -0.9998338461335987       
Redshift      All|All|All               All                   All      5.059337710765446          1.5909524506717787         7.179531584552068         -0.8093776654755809       
