#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6860.390042797476     All      1.0578651412425304         -0.16458777220407228       0.14772773624196106       -0.3916007210363043        
Zeropoint     AB|PS|PS_z                7884.2621411686205    All      0.3319335779745841         -0.05560315563570839       0.13894353494121328       -0.12003305189685547       
Zeropoint     AB|PS|PS_r                5664.049002270489     All      0.5541312264046805         0.30028075634191964        -0.34884611696754386      -0.09825484953984182       
Zeropoint     AB|PS|PS_g                4460.119513049318     All      -0.9462065319204364        0.9185917689380929         0.06372465912739536       0.6102698954915252         
Check         All|All|All               All                   All      0.9977234137013589         0.9986815974402319         0.0015498133430258687     0.00038127301852364237     
Lambda        AB|PS|PS_i                6860.390042797476     All      -0.0007642981517404376     -3.5525038467674083e-05    -0.0011644402484744165    0.0001854217587074164      
Lambda        AB|PS|PS_z                7884.2621411686205    All      -0.0002008234547858967     6.024994839022281e-05      5.01781680495246e-05      8.727941765436624e-05      
Lambda        AB|PS|PS_r                5664.049002270489     All      -9.707067760535907e-05     -9.586278312169741e-05     -0.0005353661709370845    -2.3497482389159256e-05    
Lambda        AB|PS|PS_g                4460.119513049318     All      -0.00039961197630937776    0.0002331115149033913      -0.0005117225109348005    0.00018326303166602654     
MWEBV         All|All|All               All                   All      -0.6139725181581999        -3.6966004109407535        0.018550987787005847      -1.0032854747412814        
Redshift      All|All|All               All                   All      5.036085853079629          1.3689654976140275         5.101269243781204         -0.9668555273835755        
