#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6877.862384183535    All      1.0452355349523064         -0.09494547621926586       1.1552339955546387        -0.3198416787558915        
Zeropoint     AB|PS|PS_r                5678.474449975018    All      0.49863208689384886        0.2053860885059322         -2.324533945023455        -0.19925314294987947       
Zeropoint     AB|PS|PS_z                7904.342124791755    All      0.3367248998146367         -0.05176080315845155       0.3388697420458442        -0.11142037404325983       
Zeropoint     AB|PS|PS_g                4471.478740479314    All      -0.8823845386910267        0.9397111989747131         0.8320747284031427        0.6306482004745833         
Check         All|All|All               All                  All      0.998207982969765          0.9983910081029279         0.0016445209801707605     0.0001330047255525546      
Lambda        AB|PS|PS_i                6877.862384183535    All      -0.000735063741098669      5.7844099316267745e-05     -0.0010285510508709482    0.0002123766600800055      
Lambda        AB|PS|PS_r                5678.474449975018    All      -0.00017049384178043585    -6.2731815197943e-05       -0.0007913897505422131    -2.1445252175581478e-07    
Lambda        AB|PS|PS_z                7904.342124791755    All      -2.2321377878673175e-05    1.6865243262808703e-05     0.00017324619588892788    2.0495553738848536e-05     
Lambda        AB|PS|PS_g                4471.478740479314    All      -5.8725193631901384e-05    -3.9859394551823287e-05    -0.000593325830163418     -2.0332195326485398e-05    
MWEBV         All|All|All               All                  All      -0.6050162022386525        -3.7071580444960617        0.10958514572090294       -1.0055793737112853        
Redshift      All|All|All               All                  All      3.803065688521269          0.9449089661062615         1.7657388278326192        -0.8521988609126837        
