#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6877.862384183535    All      1.0205100028023477         -0.12295440869820595       0.8203668414627246        -0.3358547733616158        
Zeropoint     AB|PS|PS_r                5678.474449975018    All      0.5736593944358808         0.2535988500554254         -1.613814509242871        -0.17627137854942307       
Zeropoint     AB|PS|PS_z                7904.342124791755    All      0.33788855027319786        -0.06068744189065001       0.2543386890451059        -0.11847934585168352       
Zeropoint     AB|PS|PS_g                4471.478740479314    All      -0.9341157055857243        0.9285443653320513         0.5411572855594741        0.6308790290030696         
Check         All|All|All               All                  All      0.9979422419257021         0.9985013647986207         0.0020483068244335767     0.00027353124034723564     
Lambda        AB|PS|PS_i                6877.862384183535    All      -0.0007610871783360427     7.511696558283494e-05      -0.0009384498956142266    0.00023050049127678454     
Lambda        AB|PS|PS_r                5678.474449975018    All      -0.00018494822263867038    -8.545634314467912e-05     -0.0007968908712879364    -3.1538012613863275e-06    
Lambda        AB|PS|PS_z                7904.342124791755    All      -6.17592966136624e-05      1.886244498113418e-05      5.771285984343151e-05     2.883661348317482e-05      
Lambda        AB|PS|PS_g                4471.478740479314    All      -8.097561423176002e-05     -1.2894418052454915e-05    -0.0005419209125350761    -2.007155973290011e-06     
MWEBV         All|All|All               All                  All      -0.6111613686835988        -3.7091348791083334        0.08325046515995317       -1.0053968067419612        
Redshift      All|All|All               All                  All      3.9288602578233767         0.8206603666772949         2.134862283466359         -0.9171738626420817        
