#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4729.73212811241      All      -0.2399142211245982        0.40892068418045824        -0.15191868138587633       0.20456744167921545       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4329.6455115782555    All      -0.3971608900859194        0.24447349049303568        -0.28820774513559294       0.1961400389235762        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3538.2908063555656    All      -0.24591154866134882       0.10331250987052343        0.01240077899866387        0.11430715480608769       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6122.416758402245     All      1.094251389045245          -0.006794742927596076      0.2416315737197021         -0.34786404116392244      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7485.591965872122     All      0.32534614450345983        -0.011987423718196055      0.30414677692948927        -0.09630796735580321      
Zeropoint     VEGAHST|UVOT|UVOT_v                      5325.251142017011     All      0.04012638136830517        0.011505748238871405       0.013243769672271241       -0.008731673187079025     
Zeropoint     VEGAHST|UVOT|UVOT_u                      3419.486278357071     All      -0.07107735981249975       0.03860895449250279        0.10810497232661671        0.04055266954845246       
Zeropoint     VEGAHST|UVOT|UVOT_b                      4286.235461188651     All      -0.043867921717058014      0.040432008228385996       0.07067141904380618        0.030613001418386142      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5289.010381691138     All      0.5320803250133515         0.16994866472961334        -0.30541236064917193       -0.1315873464796986       
Check         All|All|All                              All                   All      0.9938722985289371         0.9984198935875988         0.004660503519908155       0.0016892781892146602     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4729.73212811241      All      -0.00014544663578696694    -0.00012281584437883567    -0.001681769140870678      -6.767803937822529e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4329.6455115782555    All      -0.0002487182981452998     3.4565859652553554e-05     -0.0009091009153820862     5.170597146270603e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3538.2908063555656    All      -0.000400495287265961      0.00010301761805650355     -0.0003648630913087534     0.00014772855433653595    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6122.416758402245     All      -0.00014611735156859184    -1.3538373851357723e-05    -0.00026662538587115056    3.128706835598908e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7485.591965872122     All      -6.47398316292431e-05      7.299700702030185e-07      -9.021052423531098e-05     1.7299986931338278e-05    
Lambda        VEGAHST|UVOT|UVOT_v                      5325.251142017011     All      1.6047898346025563e-05     -4.631391247986491e-07     -8.645163490927369e-05     -9.236127509249091e-06    
Lambda        VEGAHST|UVOT|UVOT_u                      3419.486278357071     All      -5.659870636494028e-05     2.7748658059378564e-05     6.254330743595166e-05      3.0265732098711473e-05    
Lambda        VEGAHST|UVOT|UVOT_b                      4286.235461188651     All      -1.6757510264343557e-05    7.245426381385168e-06      -2.744123612157205e-05     6.5939698036069564e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5289.010381691138     All      0.00017232169413814393     7.338620231741329e-06      -0.0006993265707046736     -8.494814791301072e-05    
MWEBV         All|All|All                              All                   All      -1.0903485555835726        -3.9182025592916503        0.18220822465570227        -0.9129939664267904       
Redshift      All|All|All                              All                   All      5.975391006141532          1.213562246604294          13.340598048750296         -0.9557546667291361       
