#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4729.73212811241      All      -0.2947029656229452        0.31552723501031554       -0.8248821052622812        0.16196135251215904        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4329.6455115782555    All      -0.44262670641572754       0.24211319699500855       -0.3548891273076338        0.20720524200963852        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3538.2908063555656    All      -0.3976297574764176        0.14904671027278216       -0.08568888847109712       0.1742466091298565         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6122.416758402245     All      1.0956333958242865         0.0021647717720618687     0.5229867858006998         -0.3328402066441462        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7485.591965872122     All      0.3938138460224746         0.012833579550830532      0.7952786688828983         -0.0886081722588557        
Zeropoint     VEGAHST|UVOT|UVOT_v                      5325.251142017011     All      0.1341364944969433         0.022393866901238013      -0.028817784267354263      -0.03768425538773056       
Zeropoint     VEGAHST|UVOT|UVOT_u                      3419.486278357071     All      -0.1390859768233977        0.061993766186285715      0.19324391938862207        0.07412187621039891        
Zeropoint     VEGAHST|UVOT|UVOT_b                      4286.235461188651     All      -0.13861664893906794       0.09192161510762631       0.08203919039793672        0.07875492935870085        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5289.010381691138     All      0.6443300271194989         0.11273795972579492       -0.4319970377611726        -0.19243506891432727       
Check         All|All|All                              All                   All      0.8552517081856473         1.0107327015219436        -0.13272637859938208       0.04472230601569413        
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4729.73212811241      All      -0.00018876407832038556    -8.747501196782159e-05    -0.0015973375841962702     -3.828865885417754e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4329.6455115782555    All      -0.00025046018957676123    2.561981767180018e-05     -0.0007586949797782214     5.607126873581272e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3538.2908063555656    All      -0.0007842048300743347     0.00023273203930726714    -3.6693551415375325e-05    0.0003296123299145588      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6122.416758402245     All      -0.000343243181686855      1.501949257345032e-06     -0.00043178034746664014    9.30264571144203e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7485.591965872122     All      -0.00015354802190513714    6.306308969558206e-07     -0.0004793787688463054     2.8828586798094174e-05     
Lambda        VEGAHST|UVOT|UVOT_v                      5325.251142017011     All      -3.4728284701403915e-05    1.1680273492214214e-05    -0.0007997104688610213     -2.0570611088059218e-05    
Lambda        VEGAHST|UVOT|UVOT_u                      3419.486278357071     All      -0.0002210250295950026     8.715585926531469e-05     0.00013765251502061732     0.00010652745388213091     
Lambda        VEGAHST|UVOT|UVOT_b                      4286.235461188651     All      -0.0001177212448834217     3.122138426907987e-05     -0.00030997873730471916    3.468258701685832e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5289.010381691138     All      6.882004621746433e-05      6.853713773865908e-06     -0.0010151494363492602     -6.548593004021078e-05     
MWEBV         All|All|All                              All                   All      -1.2095239595583287        -3.9132382495147056       -0.12379905863917351       -0.8862132771954215        
Redshift      All|All|All                              All                   All      5.092674684833027          1.1062227149471582        9.770453724428174          -0.8625080813157033        
