#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4004.044110073387    All      -0.88433053727842          0.6180516450342566         0.17647176835967615        0.4972504282012874        
Zeropoint     AB|SDSS|SDSS_u            3045.021688996271    All      -0.03736938312306215       0.022661571826176896       0.07828824846101146        0.023047701950618116      
Zeropoint     AB|SDSS|SDSS_z            7543.464447599848    All      0.13231301268371687        0.0012395297627421087      0.12146272220606713        -0.037274622142913216     
Zeropoint     AB|SDSS|SDSS_i            6344.821987730913    All      1.1037939886535206         0.029279793043279767       0.19218044223963116        -0.3414284934929679       
Zeropoint     AB|SDSS|SDSS_r            5232.088669497289    All      0.6799467135758281         0.329413503522602          -0.5572909380648583        -0.1390495337355413       
Check         All|All|All               All                  All      0.9943537945115835         1.0006460431890574         0.011112243201527594       0.0025454807804831114     
Lambda        AB|SDSS|SDSS_g            4004.044110073387    All      -0.0009409790884521156     0.0004860772048444445      -0.0011518994005823794     0.0004134352037188189     
Lambda        AB|SDSS|SDSS_u            3045.021688996271    All      -6.323380705785072e-05     3.398009318840988e-05      0.00010292601181289093     3.625888073766341e-05     
Lambda        AB|SDSS|SDSS_z            7543.464447599848    All      -2.6259617792694024e-05    -4.219233364706852e-06     -8.579925561285962e-05     3.3504515990310753e-06    
Lambda        AB|SDSS|SDSS_i            6344.821987730913    All      -7.515509148624898e-05     -2.5488111423580066e-05    -4.110638943777154e-05     1.4343780035731014e-05    
Lambda        AB|SDSS|SDSS_r            5232.088669497289    All      0.000358443225396442       0.00017665376338349764     -0.00028442064655444173    -7.190719563221594e-05    
MWEBV         All|All|All               All                  All      -0.6618897986742849        -3.269350557977191         0.17888748231679186        -0.8413528254806207       
Redshift      All|All|All               All                  All      4.130594094366769          -0.9186609272227031        -5.042113526507563         -1.8697148451859962       
