#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4004.044110073387    All      -0.7977072355819663        0.507058376389935         -0.450256342976456         0.40491221269841265       
Zeropoint     AB|SDSS|SDSS_u            3045.021688996271    All      -0.09648279480183661       0.05030565217865046       0.17420642165556538        0.05558785887534187       
Zeropoint     AB|SDSS|SDSS_z            7543.464447599848    All      0.09786351329039915        0.007758518792044811      0.12412963582932347        -0.023810825534116294     
Zeropoint     AB|SDSS|SDSS_i            6344.821987730913    All      0.944294777761999          0.07498429555212738       0.4096772645855892         -0.2648810087822951       
Zeropoint     AB|SDSS|SDSS_r            5232.088669497289    All      0.8450188273394114         0.36030024538824534       -0.2463553394514757        -0.16888249623974536      
Check         All|All|All               All                  All      0.9929870880080067         1.000407088301003         0.011401639642546313       0.002925741017597766      
Lambda        AB|SDSS|SDSS_g            4004.044110073387    All      -0.0006476229767385566     0.0002551182218464372     -0.001546801786415563      0.00022502584815832627    
Lambda        AB|SDSS|SDSS_u            3045.021688996271    All      -9.041036855760197e-05     4.81931822815304e-05      0.0001740544711286026      5.291498807288304e-05     
Lambda        AB|SDSS|SDSS_z            7543.464447599848    All      -1.5221006900384087e-05    -5.93686068168532e-07     -1.3858683473833153e-05    4.146150226807952e-06     
Lambda        AB|SDSS|SDSS_i            6344.821987730913    All      -0.00021952475620269976    -3.765472410885715e-05    -0.0001789182330954284     5.125675379797034e-05     
Lambda        AB|SDSS|SDSS_r            5232.088669497289    All      0.00020398776703364123     0.00010971297024186035    -0.0002022818791761363     -3.973531408433601e-05    
MWEBV         All|All|All               All                  All      -0.7631985869088185        -3.2112100954378775       0.4049785099981565         -0.7793255546121536       
Redshift      All|All|All               All                  All      4.5129184200888375         0.0046718563805114854     -3.7199156171849865        -1.6344869717467978       
