#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3661.510298884968     All      -0.7361628390031025        0.2794283101970052         -0.34339534548749584      0.3154872921395182         
Zeropoint     AB|PS|PS_i                5631.999035581244     All      0.7710888182683125         0.0798162085260401         -1.3901345805157694       -0.2872055528576329        
Zeropoint     AB|PS|PS_z                6472.541138087334     All      0.8793877434575182         0.027776947621838133       0.7072545151585398        -0.24583613265764173       
Zeropoint     AB|PS|PS_r                4649.8695146004275    All      0.07958447194342799        0.6117047335994386         1.028208343704903         0.21921329144742094        
Check         All|All|All               All                   All      0.9938981946661563         0.998726199944322          0.0019329328601775941     0.0016588980716645274      
Lambda        AB|PS|PS_g                3661.510298884968     All      -0.0012100187852688816     0.00040225076302451195     -0.0008430556283724115    0.00048754753329197824     
Lambda        AB|PS|PS_i                5631.999035581244     All      -0.00029679551353909784    -6.74117350047224e-05      -0.0008962113653777692    3.472404608391565e-05      
Lambda        AB|PS|PS_z                6472.541138087334     All      -6.897568121969511e-05     -3.3059382951359754e-05    -0.0006284793549386905    -1.6347027152529395e-05    
Lambda        AB|PS|PS_r                4649.8695146004275    All      -0.00023714032522194128    -0.0001413160996000058     -0.0012711216298075534    -2.55112174793809e-05      
MWEBV         All|All|All               All                   All      -0.48279343351588366       -2.7664069920628975        -0.04032942860522604      -0.7456477818455798        
Redshift      All|All|All               All                   All      6.302155063448486          0.6202546835881506         6.083636347063127         -1.579297133652341         
