#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3661.510298884968     All      -0.4768098371321227        0.25906058385469777        -0.08248007406010949       0.23601649864514185        
Zeropoint     AB|PS|PS_i                5631.999035581244     All      0.6485591248751253         0.08418771807274794        -1.4684445113577915        -0.24936426868351624       
Zeropoint     AB|PS|PS_z                6472.541138087334     All      1.192083158145548          -0.0701767664139652        0.6272102001794844         -0.3831700739853172        
Zeropoint     AB|PS|PS_r                4649.8695146004275    All      -0.37172544076257896       0.7265178906784797         0.9243459389565167         0.3989832980710428         
Check         All|All|All               All                   All      0.9921070051259717         0.9995894261919602         0.0006315537181000863      0.002465454047351212       
Lambda        AB|PS|PS_g                3661.510298884968     All      -0.0010869063303731736     0.0005445046220087249      -0.00020674453023199871    0.0005221781601759332      
Lambda        AB|PS|PS_i                5631.999035581244     All      -0.00018698943447335612    -6.0589907791290664e-05    -0.0009577336361562052     -1.5667692089038037e-06    
Lambda        AB|PS|PS_z                6472.541138087334     All      0.00019937680889555966     -0.00010660486350288142    -0.0011455678842027623     -0.0001507897304671725     
Lambda        AB|PS|PS_r                4649.8695146004275    All      -0.00022911617975691442    3.425735311764007e-05      -0.0009087868751352483     4.523444005896596e-05      
MWEBV         All|All|All               All                   All      -0.42792231457502794       -2.785063624430606         -0.013471092356964753      -0.7683996252470626        
Redshift      All|All|All               All                   All      3.83962300655641           -0.6432720039521556        0.24764053383015128        -1.4491753281347997        
