#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7804.571132409886    All      0.049806162130491376       -0.011469255596630035     0.04400181443267962       -0.01799582056998186       
Zeropoint     AB|SDSS|SDSS_g            4142.638610077568    All      -0.9320649732740712        0.6824080222434858        0.37996226684336554       0.5428429400896085         
Zeropoint     AB|SDSS|SDSS_r            5413.190249098325    All      0.5318037341821978         0.5099355537300454        -1.3528260869703017       -0.06749360077103705       
Zeropoint     AB|SDSS|SDSS_i            6564.439306329579    All      1.347664052977581          -0.18447768695732947      0.9354583302878025        -0.4573237617868018        
Check         All|All|All               All                  All      0.9972089760161987         0.9963966334195717        0.006596324593545977      2.9756961787863467e-05     
Lambda        AB|SDSS|SDSS_z            7804.571132409886    All      5.145635568084713e-06      -8.759809622309789e-07    1.1373866542050559e-05    -1.4538751837311942e-06    
Lambda        AB|SDSS|SDSS_g            4142.638610077568    All      -0.0008681664827161607     0.0005133532555777065     -0.0004544429277784861    0.00042972672872580286     
Lambda        AB|SDSS|SDSS_r            5413.190249098325    All      -1.4961189067066278e-05    6.155636650702254e-05     -0.002306254352681812     -7.799325431378483e-05     
Lambda        AB|SDSS|SDSS_i            6564.439306329579    All      -0.000413260298701494      5.5084963828158537e-05    -0.0006643970540435215    0.0001229064710507134      
MWEBV         All|All|All               All                  All      -0.6330058414514443        -3.4809513921532087       0.012633320287448258      -0.9271057934274867        
Redshift      All|All|All               All                  All      6.461938363006958          -1.3299073575339548       10.897717679255036        -2.0517454066719782        
