#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7804.571132409886    All      0.0924773843567374         -0.016310962225318804     0.15574446568931144       -0.028485783316814506      
Zeropoint     AB|SDSS|SDSS_g            4142.638610077568    All      -0.7200295580201341        0.7083386102820555        1.751417827014068         0.5434242379814713         
Zeropoint     AB|SDSS|SDSS_r            5413.190249098325    All      0.3479730959810621         0.517935635510014         -2.4583162576220285       -0.05434097321344172       
Zeropoint     AB|SDSS|SDSS_i            6564.439306329579    All      1.2988536127167425         -0.2214139062509446       0.6674872514401908        -0.465414255869831         
Check         All|All|All               All                  All      1.019274535034408          0.988549377315806         0.11633328652154162       -0.004816774418615888      
Lambda        AB|SDSS|SDSS_z            7804.571132409886    All      1.5715254385603727e-06     4.081734890928671e-07     1.949141462319323e-05     4.90870310719859e-07       
Lambda        AB|SDSS|SDSS_g            4142.638610077568    All      -0.0008383491733167633     0.0005212454269890385     -7.272643728601265e-05    0.0004396192437777258      
Lambda        AB|SDSS|SDSS_r            5413.190249098325    All      -0.00011978847857213075    0.00011513836431607387    -0.0030718814641239466    -6.0560559510350516e-05    
Lambda        AB|SDSS|SDSS_i            6564.439306329579    All      -0.0004576212214440525     4.287468488162138e-05     -0.0007479915697733223    0.00012964855415854357     
MWEBV         All|All|All               All                  All      -0.6388741997008576        -3.4815136247773992       -0.007273206224911455     -0.926265750595881         
Redshift      All|All|All               All                  All      7.144457493779488          -1.5726220288689419       13.6402608003666          -2.2307373918560933        
