#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4428.227273586703     All      0.5445866963271817         0.6156881462343833         3.5362152144325365        0.18096512517409089        
Zeropoint     AB|PS|PS_g                3486.9795199907494    All      -0.9169341446926986        0.15503364739988257        -1.524308064828026        0.2811523085378312         
Zeropoint     AB|PS|PS_i                5363.542279168236     All      0.7494673564741969         0.19679625914097443        -1.2167695623245416       -0.23432199588654223       
Zeropoint     AB|PS|PS_z                6164.018819687938     All      0.6173708111264948         0.030602364815202066       -0.7937633792531809       -0.22655180106481387       
Check         All|All|All               All                   All      0.9944907192351748         0.9981204175904423         0.0013742080267880041     0.001243636760565936       
Lambda        AB|PS|PS_r                4428.227273586703     All      -0.00029753420654679476    -0.00020939648184219525    -0.0017922271004900364    -5.1269507512226546e-05    
Lambda        AB|PS|PS_g                3486.9795199907494    All      -0.001323960047142428      0.0001908110956896093      -0.002532143727385352     0.0003804128508730437      
Lambda        AB|PS|PS_i                5363.542279168236     All      0.00010514345768210443     2.597782558840911e-05      -0.0006808297445244947    -5.61691554050655e-05      
Lambda        AB|PS|PS_z                6164.018819687938     All      -0.0001687338680311652     -3.090287212800089e-05     -0.0007763598472579253    1.025071557942297e-05      
MWEBV         All|All|All               All                   All      -0.5855000562542574        -2.5742738163755163        -0.4764613301584626       -0.6690713232420092        
Redshift      All|All|All               All                   All      5.996019873133578          0.6683552037513252         14.892033837364163        -1.070832584255167         
