#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                      
Zeropoint     AB|PS|PS_r                4428.227273586703     All      0.9538811554763211         0.7383511138447929         5.845996220537325        0.19067473634595614        
Zeropoint     AB|PS|PS_g                3486.9795199907494    All      -0.8923638754977938        0.0872618748848808         -2.1839595097691453      0.2216362532717595         
Zeropoint     AB|PS|PS_i                5363.542279168236     All      0.6712465144563512         0.19901745443124952        -1.5979961383079888      -0.22513176904667628       
Zeropoint     AB|PS|PS_z                6164.018819687938     All      0.2841502042856363         -0.0227558686415108        -1.9492234801967712      -0.18695429632381264       
Check         All|All|All               All                   All      1.016913998720515          1.0018745745194124         0.11481709226341952      0.0002249242472266988      
Lambda        AB|PS|PS_r                4428.227273586703     All      -0.00042411131680776933    -0.00020520067179047256    -0.002113189656273399    -2.2995549802006147e-05    
Lambda        AB|PS|PS_g                3486.9795199907494    All      -0.0013736612789126677     0.0001471170887143237      -0.003586377827336198    0.00033532397566186716     
Lambda        AB|PS|PS_i                5363.542279168236     All      -2.6034682679853283e-05    1.5462537005985637e-05     -0.001070072162910495    -3.423539629736121e-05     
Lambda        AB|PS|PS_z                6164.018819687938     All      7.539418513110022e-05      6.036333773659872e-06      0.0005646252871019989    2.6044993405646584e-06     
MWEBV         All|All|All               All                   All      -0.6667692419150404        -2.588067990507703         -0.8807263073094623      -0.6651329813335698        
Redshift      All|All|All               All                   All      5.334626296758483          0.5270925691926109         11.636875140172458       -1.0466716069583861        
