#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5800.8872052616       All      0.9179709961625198         0.24043417721024696        -0.4317093712404027        -0.23996123870104494      
Zeropoint     AB|PS|PS_z                8074.738647087952     All      0.38482950328617505        -0.08863915514352172       0.2185114961715139         -0.1444731542196089       
Zeropoint     AB|PS|PS_i                7026.1307425863015    All      0.7348469221691274         -0.14729611757697825       0.1214268100076365         -0.2819242888518109       
Zeropoint     AB|PS|PS_g                4567.871889317003     All      -1.038254297963977         0.993765618058351          0.09461364508911622        0.6661179105535951        
Check         All|All|All               All                   All      0.9993931236538449         0.9982645225480979         0.0028425800278639307      -0.0002407712188695621    
Lambda        AB|PS|PS_r                5800.8872052616       All      -0.00012885294964358606    -3.8120853299100345e-05    -0.00048142765906349544    8.070523469963139e-06     
Lambda        AB|PS|PS_z                8074.738647087952     All      -9.060424232629452e-05     3.673717923613564e-05      9.638949746659937e-05      4.578071098220009e-05     
Lambda        AB|PS|PS_i                7026.1307425863015    All      -0.0003972035553322917     4.949531846959782e-05      -0.00025435971966001475    0.0001341536130972207     
Lambda        AB|PS|PS_g                4567.871889317003     All      -0.0001450697515583774     -2.435430387223196e-05     -0.000809773844839683      3.1845051931950804e-06    
MWEBV         All|All|All               All                   All      -0.6312488519668631        -3.823593079949017         0.0637052198059321         -1.0370086686868865       
Redshift      All|All|All               All                   All      3.7848222560378386         -0.13837432447587616       1.0557612596851786         -1.2308004195234024       
