#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5800.8872052616       All      0.9736920639813018         0.15820695068988755        -0.3251080516960769        -0.2801384092422726       
Zeropoint     AB|PS|PS_z                8074.738647087952     All      0.22575114857218648        -0.052170234265602744      0.10241381519824344        -0.08595787952952114      
Zeropoint     AB|PS|PS_i                7026.1307425863015    All      0.7848026783167692         -0.12553665701808825       0.15831680124955838        -0.28946251907611337      
Zeropoint     AB|PS|PS_g                4567.871889317003     All      -1.0988423794266133        1.0069884872663692         0.014212978691396927       0.6865726530207505        
Check         All|All|All               All                   All      0.8854035114436442         0.9874885466725658         -0.05016445655687818       0.031013845172843446      
Lambda        AB|PS|PS_r                5800.8872052616       All      -9.81014715145484e-05      -3.65746476857566e-05      -0.00014851437340218863    1.3413796310323115e-05    
Lambda        AB|PS|PS_z                8074.738647087952     All      -0.00032494804451276054    2.915244546965505e-05      -9.855434657319318e-05     0.00011094415130354662    
Lambda        AB|PS|PS_i                7026.1307425863015    All      -0.0004090372341464855     7.219022217527252e-05      -0.00021454780798936982    0.00014717733114892977    
Lambda        AB|PS|PS_g                4567.871889317003     All      4.026242403577709e-05      -0.00015825182299942887    -0.0004984174535796348     -8.690470298879999e-05    
MWEBV         All|All|All               All                   All      -0.648727113591312         -3.82480826541709          0.026094423575617753       -1.0333896468390613       
Redshift      All|All|All               All                   All      4.442178670878985          -0.4021881892754209        2.181573858889152          -1.4806160395721801       
