#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4132.412022173581    All      -0.8417909284261763       0.5905668435282507        -0.42013365555747495       0.44781741405311176        
Zeropoint     AB|SDSS|SDSS_i            6548.234220169455    All      0.9653651936312015        -0.01936486346298949      0.2142696807364579         -0.3111971045059597        
Zeropoint     AB|SDSS|SDSS_u            3142.643759525633    All      -0.0788673850927902       0.05192713316262143       0.12617669929840863        0.048234764188695          
Zeropoint     AB|SDSS|SDSS_r            5399.827155878284    All      0.8481367965172747        0.3822152543113688        0.022131418048708926       -0.15077835111831686       
Zeropoint     AB|SDSS|SDSS_z            7785.304635799645    All      0.10070540571541982       -0.004686926383179468     0.0657386872683089         -0.031396134183335825      
Check         All|All|All               All                  All      0.9935490823449296        1.000657441156072         0.00818282979440943        0.0026805884341943448      
Lambda        AB|SDSS|SDSS_g            4132.412022173581    All      -0.000792732270602816     0.0003492733400169794     -0.001538984565603856      0.00030331098538503815     
Lambda        AB|SDSS|SDSS_i            6548.234220169455    All      -0.0003090089406597942    -3.79700653563149e-06     -0.00024403511833216512    8.85274016002137e-05       
Lambda        AB|SDSS|SDSS_u            3142.643759525633    All      -6.126477598940949e-05    4.0484869048545306e-05    9.7550406295776e-05        3.749643345292382e-05      
Lambda        AB|SDSS|SDSS_r            5399.827155878284    All      0.00024910677444526906    7.558185245144921e-05     -0.0004913879881206921     -7.845116494018068e-05     
Lambda        AB|SDSS|SDSS_z            7785.304635799645    All      5.216949358060122e-06     2.9180967760854045e-07    1.2822245981905762e-05     -1.0320820784789878e-06    
MWEBV         All|All|All               All                  All      -0.7448965004112882       -3.382315169269212        0.24611742791800098        -0.8481109385124294        
Redshift      All|All|All               All                  All      4.989117829826103         -0.594896975445458        4.120658835289656          -1.6350112523898626        
