#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4132.412022173581    All      -0.8378687245998961        0.557773000944195         -0.534667854323756        0.4307466545608263        
Zeropoint     AB|SDSS|SDSS_i            6548.234220169455    All      0.9379448077331594         -0.012790151124875138     0.1557257312774285        -0.3027363301866537       
Zeropoint     AB|SDSS|SDSS_u            3142.643759525633    All      -0.1210939176680805        0.0722979711738958        0.15379530233489147       0.06985727858692392       
Zeropoint     AB|SDSS|SDSS_r            5399.827155878284    All      0.9008325870772871         0.38515693683791596       0.12777772876707005       -0.16227039133494547      
Zeropoint     AB|SDSS|SDSS_z            7785.304635799645    All      0.1134263805328067         -0.0017654806296008019    0.10571298557872089       -0.032804293856066036     
Check         All|All|All               All                  All      0.9932411330752764         1.0006722772015308        0.008343893634354949      0.0027929177700850016     
Lambda        AB|SDSS|SDSS_g            4132.412022173581    All      -0.0006917530009919602     0.00023207885685308144    -0.001667441091244478     0.00022651219164317532    
Lambda        AB|SDSS|SDSS_i            6548.234220169455    All      -0.0003758001529746422     -9.89126330604547e-06     -0.0003547177281001823    0.00010335914036445335    
Lambda        AB|SDSS|SDSS_u            3142.643759525633    All      -5.6260086927632607e-05    3.1381192492770336e-05    6.27212041476792e-05      3.1346607292714984e-05    
Lambda        AB|SDSS|SDSS_r            5399.827155878284    All      0.00023763595659406753     3.9743962742264974e-05    -0.0004916452930261976    -8.639980423335232e-05    
Lambda        AB|SDSS|SDSS_z            7785.304635799645    All      2.2795945918723564e-06     1.638969018106425e-06     2.537732322981068e-05     9.23800556585711e-07      
MWEBV         All|All|All               All                  All      -0.7779178911142006        -3.3663399006588435       0.2666596296472701        -0.8312344105156244       
Redshift      All|All|All               All                  All      5.236803526436373          0.09236628070290465       6.1901029192997           -1.3994765947196772       
