#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_v       5404.275930316193     All      2.027644657645722         0.4167300507192273         0.6970661494055175        -0.4936210242534003       
Zeropoint     VEGAHST|UVOT|UVOT_u       3470.2302098699       All      -0.5073837900514594       0.22094919718420591        0.3642267761143691        0.2534957835711185        
Zeropoint     VEGAHST|UVOT|UVOT_b       4349.8416350361795    All      -0.49473705500122345      0.35864273335439734        -1.0312989842416904       0.23195173534674568       
Check         All|All|All               All                   All      1.0255238125930393        0.9963219812578306         0.029993941278196212      -0.008173505335536124     
Lambda        VEGAHST|UVOT|UVOT_v       5404.275930316193     All      0.0006679043816790594     -2.117593810097209e-05     -0.0019395941114668431    -0.0003110113071827326    
Lambda        VEGAHST|UVOT|UVOT_u       3470.2302098699       All      -9.24581313661167e-05     -0.00010047560291578045    -0.001216536442088247     -5.689998831132038e-05    
Lambda        VEGAHST|UVOT|UVOT_b       4349.8416350361795    All      -0.0003636536192268317    -1.823718692807503e-05     -0.001489418499805282     4.604758886821923e-05     
MWEBV         All|All|All               All                   All      -1.4943093496233204       -3.862290400985202         0.38841077685166264       -0.7539963436264507       
Redshift      All|All|All               All                   All      0.9133469559939952        -0.03243283258327345       2.3476516275510764        -0.20330668260676588      
