#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6256.9482045274135    All      1.11042737803224           -0.003095523690710422      0.237831895299756         -0.35209769774165595      
Zeropoint     AB|PS|PS_g                4067.806145869225     All      -0.8267880955939915        0.5593000451877828         -0.15173352682040786      0.4447233379828594        
Zeropoint     AB|PS|PS_z                7190.76022506914      All      0.5350457213745909         -0.02980804113938973       0.33642915437275267       -0.16897816559117707      
Zeropoint     AB|PS|PS_r                5165.8376585043725    All      0.1774696056289926         0.4716212212274584         -0.4242485257541784       0.07688259529972097       
Check         All|All|All               All                   All      0.996154609441832          0.998017701585141          -0.0017210029020775508    0.0005300699497473582     
Lambda        AB|PS|PS_i                6256.9482045274135    All      -0.0005633193618837012     -0.00014104051675157262    -0.0017360502922717702    6.0078161267392855e-05    
Lambda        AB|PS|PS_g                4067.806145869225     All      -0.0005255444984950719     0.0002247528240553284      -0.0006453853349840039    0.00021559593865068136    
Lambda        AB|PS|PS_z                7190.76022506914      All      -0.0002922112221518127     -5.756154404685771e-05     -0.0009158325667483766    3.556371871675158e-05     
Lambda        AB|PS|PS_r                5165.8376585043725    All      -0.00022108991881856843    -7.38872190923127e-05      -0.0015152849718898563    -1.967144671747707e-05    
MWEBV         All|All|All               All                   All      -0.5268176604028376        -3.234176742368966         0.03372877242646677       -0.8803707622617923       
Redshift      All|All|All               All                   All      8.152320300327663          1.262105341666775          10.898789958753419        -1.758006753847449        
