#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6256.9482045274135    All      1.2202449485031137         -0.03609207304346995       0.09247186627431472       -0.40510370549413766       
Zeropoint     AB|PS|PS_g                4067.806145869225     All      -0.7810136254312603        0.5733330643337808         -0.021152749145883894     0.44021132349578346        
Zeropoint     AB|PS|PS_z                7190.76022506914      All      0.4687617283612959         -0.05885581414393215       0.12974196373413033       -0.166072603737346         
Zeropoint     AB|PS|PS_r                5165.8376585043725    All      0.08754070502285899        0.520548464381676          -0.20075663748382225      0.13208602606629752        
Check         All|All|All               All                   All      0.9955337564560082         0.9989336415280547         0.0003044433787389167     0.0011210403305973171      
Lambda        AB|PS|PS_i                6256.9482045274135    All      -0.000315536441925828      -0.00013300288967518933    -0.0013659851187107861    -1.5004589618042493e-06    
Lambda        AB|PS|PS_g                4067.806145869225     All      -0.0006476086888505365     0.0003735464681636621      -0.000471189910622123     0.0003115967880322371      
Lambda        AB|PS|PS_z                7190.76022506914      All      -0.0002503724680123496     -4.112095024821411e-05     -0.0006673841267274406    3.837781511481307e-05      
Lambda        AB|PS|PS_r                5165.8376585043725    All      -0.00013788218172123634    -4.428436973979471e-06     -0.0010601680122640268    -3.840154049809378e-06     
MWEBV         All|All|All               All                   All      -0.5312794144846644        -3.239346915718322         0.018999432015848524      -0.8812588205366404        
Redshift      All|All|All               All                   All      7.7648156026641555         0.38075469893019687        6.731240818382314         -2.1048472024806455        
