#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6087.1628831577855    All      1.0018091134632412         0.022386142100572215       -0.1882689915519098       -0.32743186423624776       
Zeropoint     AB|PS|PS_g                3443.5021905876706    All      -0.6198143998623413        0.17653421551067083        -0.5013852764453652       0.23702242100977106        
Zeropoint     AB|PS|PS_r                4373.014016743159     All      -0.715659075227883         0.37625595498571585        -1.7231974378088433       0.27877426098820435        
Zeropoint     AB|PS|PS_i                5296.667067225679     All      1.3259133911762795         0.4244860452409682         2.4227865711530736        -0.18550670543561568       
Check         All|All|All               All                   All      0.9922490295492963         0.9996623578379271         0.009934865346955313      0.0028581123261119668      
Lambda        AB|PS|PS_z                6087.1628831577855    All      -0.0005039715415676895     -9.630461892235707e-05     -0.0017940212268646712    5.273160083546337e-05      
Lambda        AB|PS|PS_g                3443.5021905876706    All      -0.0009383415839545612     0.00022799047766470934     -0.0011213640695430399    0.00032987139546966583     
Lambda        AB|PS|PS_r                4373.014016743159     All      -0.00026104218978457094    -0.00010809292539629304    -0.0017196924225312499    -2.6921367263356153e-05    
Lambda        AB|PS|PS_i                5296.667067225679     All      0.00048121699181807767     0.00013280568712932243     0.0008379826348674228     -7.609370804948478e-05     
MWEBV         All|All|All               All                   All      -0.4162569610177007        -2.4992461518344555        0.16772105592913755       -0.6710134873467306        
Redshift      All|All|All               All                   All      2.7300582190838707         0.2532076211352319         5.49695143148029          -0.5614880299139542        
