#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6087.1628831577855    All      0.8078332119192647         -0.007049756368715521      -0.8866237344011207        -0.3050001367755485        
Zeropoint     AB|PS|PS_g                3443.5021905876706    All      -0.48675792844029764       0.19518950023780235        0.03699033711906553        0.22378342177961302        
Zeropoint     AB|PS|PS_r                4373.014016743159     All      -0.5319703909883686        0.39700492313645697        -0.932668582826463         0.2609771069308144         
Zeropoint     AB|PS|PS_i                5296.667067225679     All      1.2024866033569164         0.4141420072016899         1.7849198001307391         -0.17713699789489099       
Check         All|All|All               All                   All      0.991591495847515          0.9992866742072337         0.0026178200222208847      0.0026233940399879307      
Lambda        AB|PS|PS_z                6087.1628831577855    All      -0.00017476383697972992    -1.3771465911081321e-05    -0.00011413349887743781    4.734725789004548e-05      
Lambda        AB|PS|PS_g                3443.5021905876706    All      -0.000642082699517718      0.0002337580171211359      -0.00016906252404176684    0.00027774565174108534     
Lambda        AB|PS|PS_r                4373.014016743159     All      -0.0002890907188149394     -0.00011763379056368533    -0.0018499372996978675     -2.6705042933991465e-05    
Lambda        AB|PS|PS_i                5296.667067225679     All      0.0003689656685924759      0.00012668679808428682     0.00047191292888912925     -5.7858892263966895e-05    
MWEBV         All|All|All               All                   All      -0.44633934704419964       -2.4970543991916117        0.08974424336363483        -0.6639804856047539        
Redshift      All|All|All               All                   All      1.3129513892676887         -0.14873463481350768       -2.0488963077460784        -0.5675520580594168        
