#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5507.556579863602     All      0.8176477458967149        0.29996962964915497        -0.6934398053999671        -0.19956982722715158       
Zeropoint     AB|SDSS|SDSS_z            7940.62560437026      All      0.11963077086515511       -0.002267176446935082      0.11495679060995904        -0.03457617817541557       
Zeropoint     AB|SDSS|SDSS_u            3205.3411741338386    All      -0.126429891168245        0.088469398165536          0.22543726437681483        0.0800599982258647         
Zeropoint     AB|SDSS|SDSS_g            4214.855840089889     All      -0.7027108315020201       0.5849124985314091         -0.3947246234321622        0.4018065331020271         
Zeropoint     AB|SDSS|SDSS_i            6678.874975937323     All      0.8846872513833404        0.02991100077984754        0.7572015240915284         -0.2446383198055223        
Check         All|All|All               All                   All      0.9928250454749453        1.0009953506790126         0.009431150246173026       0.003082206119802311       
Lambda        AB|SDSS|SDSS_r            5507.556579863602     All      0.0001695916736044648     4.104571478374819e-05      -0.0003066199282714831     -5.5554686968700265e-05    
Lambda        AB|SDSS|SDSS_z            7940.62560437026      All      7.200742171127468e-06     1.2751000564765787e-06     2.5600216094047257e-05     -7.877565178392228e-07     
Lambda        AB|SDSS|SDSS_u            3205.3411741338386    All      -7.822861612060257e-05    5.631715686971246e-05      0.00015177429208148197     5.059897426888537e-05      
Lambda        AB|SDSS|SDSS_g            4214.855840089889     All      -0.0005658273665750295    0.00021938797515940083     -0.0019525154916857847     0.00016863867080569312     
Lambda        AB|SDSS|SDSS_i            6678.874975937323     All      -0.0003961632511269202    -1.9010033526930953e-05    -0.00044737095545871117    0.00010288709990297908     
MWEBV         All|All|All               All                   All      -0.8253298714102884       -3.435137721226411         0.3719227161963032         -0.8335030741684787        
Redshift      All|All|All               All                   All      2.0489945160177014        -0.1327651863636703        -2.599814161356389         -0.8266886783345918        
