#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4331.567846632465     All      -0.4358648927201517       0.48260623056743945        -0.3949454646028361       0.28155165949088035        
Zeropoint     VEGAHST|UVOT|UVOT_u       3455.6516900321744    All      -0.5540125450024945       0.1380710561125209         -0.10154099307526643      0.2209030895972977         
Zeropoint     VEGAHST|UVOT|UVOT_v       5381.572438301578     All      2.0107068509915544        0.3700263237373491         0.4725419136221265        -0.5133362492143239        
Check         All|All|All               All                   All      1.0208294132689082        0.9907036104173095         -0.023944544055976014     -0.010881500126145749      
Lambda        VEGAHST|UVOT|UVOT_b       4331.567846632465     All      -0.0004429021872724737    -0.00013406495481005685    -0.0021323872292424       5.439798715377186e-06      
Lambda        VEGAHST|UVOT|UVOT_u       3455.6516900321744    All      4.518685560342449e-05     -0.00015746684919058914    -0.001349354358304099     -0.00012622646641096913    
Lambda        VEGAHST|UVOT|UVOT_v       5381.572438301578     All      0.0007003689274867086     6.54870426990056e-05       -0.0005865966811301509    -0.0002329790326066885     
MWEBV         All|All|All               All                   All      -1.5239362988161997       -3.8833974818283767        0.1932329031172575        -0.7599310342948251        
Redshift      All|All|All               All                   All      -0.703891114829225        0.18299752057999719        -0.9825344876821185       0.24504280475464885        
