#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6470.911003879182     All      0.9906895823447712         -0.1750183297961172       -0.7437907124449149        -0.4129013810247042        
Zeropoint     AB|SDSS|SDSS_u            3105.5346221657314    All      -0.008707214209816266      0.03422699280157815       0.14980469931646545        0.0206701794194626         
Zeropoint     AB|SDSS|SDSS_z            7693.37377718964      All      0.10781965112959954        0.010308609725839801      0.13152926929933909        -0.025893007006433322      
Zeropoint     AB|SDSS|SDSS_g            4083.6154492582677    All      -1.086191401846515         0.5231094077830178        -1.005260313411133         0.479342067326452          
Zeropoint     AB|SDSS|SDSS_r            5336.064622489052     All      0.9939152123895962         0.6079705480059872        1.479396609483747          -0.059696198333659835      
Check         All|All|All               All                   All      0.9975258298076357         1.0005972285203057        0.011679552243503366       0.00152166038111725        
Lambda        AB|SDSS|SDSS_i            6470.911003879182     All      -0.00033326427289919825    4.5017400573202364e-06    -0.00023524560007618208    9.952357190426109e-05      
Lambda        AB|SDSS|SDSS_u            3105.5346221657314    All      -1.2206668611353252e-05    3.698682625445668e-05     0.00015963073701645667     2.314752633129137e-05      
Lambda        AB|SDSS|SDSS_z            7693.37377718964      All      4.584275077335659e-06      1.7095341582906783e-06    1.550154199866142e-05      -2.446350701069599e-07     
Lambda        AB|SDSS|SDSS_g            4083.6154492582677    All      -0.0011296873015204216     0.00041238688529502386    -0.0014690859013168308     0.00043674573887134843     
Lambda        AB|SDSS|SDSS_r            5336.064622489052     All      0.0003243516734355434      6.430523809651e-05        -0.0006105474236913698     -0.00011195160663998407    
MWEBV         All|All|All               All                   All      -0.6090626515368807        -3.3459094337835893       0.3266083316026123         -0.876906006780831         
Redshift      All|All|All               All                   All      8.195628006360453          -0.9573130905572214       3.3820290917260376         -2.830489612817983         
