#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6470.911003879182     All      0.9440289501334984        -0.22163472722844801       -1.19042441894186          -0.43281818330846294      
Zeropoint     AB|SDSS|SDSS_u            3105.5346221657314    All      -0.009396466772604015     0.03244269598532412        0.17546749782484383        0.02145870031268135       
Zeropoint     AB|SDSS|SDSS_z            7693.37377718964      All      0.10488381529195885       -0.004126562214779028      0.03601391601921744        -0.033901130622835535     
Zeropoint     AB|SDSS|SDSS_g            4083.6154492582677    All      -1.202378472628484        0.5255411977355351         -1.2735795167140518        0.5060062790143954        
Zeropoint     AB|SDSS|SDSS_r            5336.064622489052     All      1.1609763365016657        0.6658395232175707         2.255521085142087          -0.06062880280769678      
Check         All|All|All               All                   All      0.998114162526035         0.9980621274952028         0.0029985633302365144      0.00011686258808152328    
Lambda        AB|SDSS|SDSS_i            6470.911003879182     All      -0.0005813567478039775    -0.0001102441237929095     -0.001273376439617456      9.663193869168617e-05     
Lambda        AB|SDSS|SDSS_u            3105.5346221657314    All      4.880282888178923e-06     1.3688197048156829e-05     0.00010587543606137556     7.593761856803375e-06     
Lambda        AB|SDSS|SDSS_z            7693.37377718964      All      5.449939395770991e-06     -1.9177802383073516e-06    -1.1732569912466046e-05    -2.923479385044362e-06    
Lambda        AB|SDSS|SDSS_g            4083.6154492582677    All      -0.001103634376548994     0.0004246686124077905      -0.0012425514604484022     0.000442369198330734      
Lambda        AB|SDSS|SDSS_r            5336.064622489052     All      0.0001469837032834292     -6.552133009072899e-05     -0.0015905898473986195     -0.0001402006001523678    
MWEBV         All|All|All               All                   All      -0.6061415542198914       -3.4190323394513555        -0.043467606731262265      -0.9181908297568885       
Redshift      All|All|All               All                   All      8.156287223858499         -1.1588466465202174        2.1264402191165432         -2.93935229979145         
