#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3211.8933068395777    All      -0.127673673237885         0.07996797196661021        0.17929293576121225       0.07563673531067795        
Zeropoint     AB|SDSS|SDSS_r            5518.814739178073     All      0.7800595141693139         0.28706008128320804        -1.104263256551644        -0.2098643319327951        
Zeropoint     AB|SDSS|SDSS_g            4223.4715515850285    All      -0.6811591651438818        0.6165138467146392         -0.11436461631188823      0.4175912245680105         
Zeropoint     AB|SDSS|SDSS_i            6692.527461831966     All      0.889242904712874          0.022094451773568835       0.9169269930023661        -0.24154053905471698       
Zeropoint     AB|SDSS|SDSS_z            7956.857272046161     All      0.1322827679926789         -0.004772572855848978      0.13241090069938802       -0.038734543144205776      
Check         All|All|All               All                   All      0.9927523484931            1.0008637788821773         0.010002956599434204      0.0030885457469706154      
Lambda        AB|SDSS|SDSS_u            3211.8933068395777    All      -8.273351142259035e-05     5.15340610579662e-05       0.00011229706309271081    4.87466677929179e-05       
Lambda        AB|SDSS|SDSS_r            5518.814739178073     All      0.0001119324319188634      2.683401182134845e-05      -0.0006510006604273253    -5.6770524617608646e-05    
Lambda        AB|SDSS|SDSS_g            4223.4715515850285    All      -0.00046418399448904684    0.0002426468936899514      -0.0013838692329247973    0.00016848234634146616     
Lambda        AB|SDSS|SDSS_i            6692.527461831966     All      -0.0003929584452196751     -1.2701358172690592e-05    -0.0004632877946361416    0.00010318783686704662     
Lambda        AB|SDSS|SDSS_z            7956.857272046161     All      3.7547585740482676e-06     9.150020937523755e-07      1.978652504464144e-05     -4.202037432573752e-08     
MWEBV         All|All|All               All                   All      -0.8238689797384877        -3.4603080614829196        0.3070520749580404        -0.8450726213274204        
Redshift      All|All|All               All                   All      2.0137275974743805         -0.019447166217823053      -2.9326856916387642       -0.7931442030771056        
