#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3211.8933068395777    All      -0.1094914050661911        0.07218166777214208        0.1738457335051069        0.06693483333176965       
Zeropoint     AB|SDSS|SDSS_r            5518.814739178073     All      0.7611701045968988         0.28636732071376514        -1.2246056911937087       -0.20930741484582147      
Zeropoint     AB|SDSS|SDSS_g            4223.4715515850285    All      -0.6469609780151875        0.6266027411196973         0.1138866718622622        0.4199238414267149        
Zeropoint     AB|SDSS|SDSS_i            6692.527461831966     All      0.863943164889918          0.01976247990356228        0.8196537038083596        -0.23840004155199038      
Zeropoint     AB|SDSS|SDSS_z            7956.857272046161     All      0.12369039115595214        -0.004364451896599064      0.12197331143095347       -0.03626856657541061      
Check         All|All|All               All                   All      0.9923512775613904         1.0005497576125677         0.004753729412973473      0.002882651785262119      
Lambda        AB|SDSS|SDSS_u            3211.8933068395777    All      -7.956961829818243e-05     5.187546794598298e-05      0.00011668125992816584    4.802293773756487e-05     
Lambda        AB|SDSS|SDSS_r            5518.814739178073     All      0.00012594810318868277     4.1914153601370235e-05     -0.0005333479317951174    -5.117349063297838e-05    
Lambda        AB|SDSS|SDSS_g            4223.4715515850285    All      -0.00047715289883033633    0.00024558892523482385     -0.0014749397669748742    0.00016960100195101055    
Lambda        AB|SDSS|SDSS_i            6692.527461831966     All      -0.0003891049226100484     -1.6101735225206245e-05    -0.000490880463798302     9.959366900471493e-05     
Lambda        AB|SDSS|SDSS_z            7956.857272046161     All      4.029760584015235e-06      3.3421254045270775e-07     1.4799483019150549e-05    -5.433286221299355e-07    
MWEBV         All|All|All               All                   All      -0.8238245262733521        -3.456146950486172         0.3273409774539493        -0.8428262900005306       
Redshift      All|All|All               All                   All      1.9982061864801028         -0.1424101078040252        -3.655207285333137        -0.8603842646171883       
