#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                5981.743457931634    All      0.9865057213317889         0.13694957130727659       -0.044088905590022875      -0.2786958729935979       
Zeropoint     AB|PS|PS_z                6874.482819394078    All      0.7690116051859424         0.015103091740265029      0.3976795030410596         -0.22782619593780198      
Zeropoint     AB|PS|PS_g                3888.888321559179    All      -0.751450157813744         0.6135011870041396        0.4234722473278385         0.4635071800331588        
Zeropoint     AB|PS|PS_r                4938.624167631147    All      0.0012256933530654518      0.22457439434031556       -0.7962701575474851        0.03721813987076373       
Check         All|All|All               All                  All      1.0052928620570525         0.9901282443919968        -0.019207312768609874      -0.005796749027477281     
Lambda        AB|PS|PS_i                5981.743457931634    All      -2.7131352880938983e-05    -4.905595856870413e-05    -1.4002905500389492e-05    -7.766450730071176e-06    
Lambda        AB|PS|PS_z                6874.482819394078    All      -0.0005370914066100956     9.044755186911825e-06     -0.00010475543267488531    0.00017321976140734468    
Lambda        AB|PS|PS_g                3888.888321559179    All      -0.0009435251592114422     0.0005058888206954009     -0.0008442898644445198     0.0004344450385921642     
Lambda        AB|PS|PS_r                4938.624167631147    All      -0.0001378932311113556     8.139365652602021e-06     -0.0009622252375848064     4.627928083009499e-06     
MWEBV         All|All|All               All                  All      -0.49480464672237856       -3.0273029949031027       0.03732506952354164        -0.823252382298371        
Redshift      All|All|All               All                  All      4.767594398097526          0.01733738422711184       0.0685214692246916         -1.5442571897676325       
