#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                5981.743457931634    All      1.051771918765998          0.18831287595855173        0.38037977999853384        -0.2642824146409274       
Zeropoint     AB|PS|PS_z                6874.482819394078    All      0.6137554889339106         0.0398599575863301         0.4151411982359557         -0.16841081015936635      
Zeropoint     AB|PS|PS_g                3888.888321559179    All      -0.7984860144742386        0.6286254229801003         0.4365267738911742         0.4843373307744071        
Zeropoint     AB|PS|PS_r                4938.624167631147    All      0.13085927199576428        0.14199825861922477        -1.2261814713575037        -0.051090513013849356     
Check         All|All|All               All                  All      0.9979006652214342         0.9987965151442069         0.0058662807681599816      0.0005535929602640405     
Lambda        AB|PS|PS_i                5981.743457931634    All      -0.00012336753627060858    -2.8388722127358697e-05    -4.1232454143734196e-05    2.9097709422005965e-05    
Lambda        AB|PS|PS_z                6874.482819394078    All      -0.0005134066781808763     -6.639851101776585e-05     -0.000503405927691467      0.00012314057168383695    
Lambda        AB|PS|PS_g                3888.888321559179    All      -0.0009141895918878599     0.000467471641263087       -0.0009024173017090452     0.00040978177941915564    
Lambda        AB|PS|PS_r                4938.624167631147    All      -0.000136025594420655      2.7158125134614964e-05     -0.0008989151879137829     1.3039849775596644e-05    
MWEBV         All|All|All               All                  All      -0.49345380376496983       -3.020344627481819         0.08158087710218578        -0.8194508936657492       
Redshift      All|All|All               All                  All      5.237128593921664          0.46343145087952564        2.5494675218454406         -1.441179183240819        
