#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3994.4289650466876    All      -0.7490539147855575        0.4613920809287464         -0.430325783124701         0.3750786200085407         
Zeropoint     AB|PS|PS_r                5072.653620136942     All      -0.0013553118613385262     0.6606088427687951         0.6245589809731608         0.24349470196203798        
Zeropoint     AB|PS|PS_i                6144.082152572828     All      1.2680891447611797         -0.037062257373676744      0.04963002305903314        -0.4229159898943873        
Zeropoint     AB|PS|PS_z                7061.049591286304     All      0.47674507476578665        -0.08574706522530562       -0.24600926736057577       -0.19420045915944337       
Check         All|All|All               All                   All      0.9944249928800702         0.9991916010985591         -0.0021460464530828616     0.0014568729167480365      
Lambda        AB|PS|PS_g                3994.4289650466876    All      -0.0006179144245109632     0.0003446693063077269      -0.0005739765785973086     0.0002879312506680322      
Lambda        AB|PS|PS_r                5072.653620136942     All      -0.00018169254555454876    -6.329072711862991e-05     -0.0014644045272940492     -2.6782280717708775e-05    
Lambda        AB|PS|PS_i                6144.082152572828     All      -0.0002794970749853084     -3.1141654645187775e-05    -0.0008496201742606705     4.298288484247844e-05      
Lambda        AB|PS|PS_z                7061.049591286304     All      -0.00019232013274483845    -1.2208143138807347e-05    -0.0005362647759217534     3.4737366548778787e-05     
MWEBV         All|All|All               All                   All      -0.519287964388834         -3.155186386577924         -0.00037578864620254373    -0.8586156043106253        
Redshift      All|All|All               All                   All      7.524755052787712          -0.5080021959891212        3.0630667463641013         -2.4798427050569876        
