#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3994.4289650466876    All      -0.7909316737001271        0.4752837828831957         -0.4900032665143994       0.39058143617943          
Zeropoint     AB|PS|PS_r                5072.653620136942     All      -0.01435135802451859       0.6442027059962996         0.44054006510019783       0.2341720042148356        
Zeropoint     AB|PS|PS_i                6144.082152572828     All      1.2633251434490225         -0.045287510630842576      -0.009855687486631792     -0.42669800757834975      
Zeropoint     AB|PS|PS_z                7061.049591286304     All      0.5362576633066105         -0.07486047442117894       0.05541615259507804       -0.19658831427435303      
Check         All|All|All               All                   All      0.9942997750309874         0.9993385038274738         -0.0039027363057553277    0.0014671185415628396     
Lambda        AB|PS|PS_g                3994.4289650466876    All      -0.0006397364900168282     0.00033353471429125296     -0.0006778789056389497    0.0002867758287412199     
Lambda        AB|PS|PS_r                5072.653620136942     All      -0.00019856791633083467    -0.00010344903945744818    -0.0016782212489316983    -4.390795903265675e-05    
Lambda        AB|PS|PS_i                6144.082152572828     All      -0.0002502127633680459     -2.7367774027659107e-05    -0.0006974893838274966    4.1462196663198615e-05    
Lambda        AB|PS|PS_z                7061.049591286304     All      -0.00016146935569709815    -6.687082179794196e-06     -0.0004235533393187227    3.1516438446462196e-05    
MWEBV         All|All|All               All                   All      -0.5231703683676172        -3.1547013275911695        -0.009434931851654005     -0.8575972458916056       
Redshift      All|All|All               All                   All      7.495462144196788          -0.39719268046667366       2.670422247123233         -2.4517286569405794       
