#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6988.366491351873     All      0.48926909354236414        -0.07105059396224078       -0.07609338939712677       -0.18591025467492225      
Zeropoint     AB|PS|PS_i                6080.83788111892      All      1.3041314746712263         0.02313554071964319        -0.12833045455431802       -0.4229893179887702       
Zeropoint     AB|PS|PS_r                5020.438126499826     All      -0.056654541850525764      0.5680951963389802         0.6168520524715048         0.23102881738700395       
Zeropoint     AB|PS|PS_g                3953.3122052938947    All      -0.741032503700406         0.478240145985076          -0.4156932764060369        0.37860673316542504       
Check         All|All|All               All                   All      0.9957135226626586         0.9984202890814586         -0.003265067885976969      0.0007359778887365831     
Lambda        AB|PS|PS_z                6988.366491351873     All      -0.00030898335883518133    4.417869724028067e-05      -0.00015031466349740356    0.00010832864728870285    
Lambda        AB|PS|PS_i                6080.83788111892      All      -0.0003451622424309961     -8.580010366852727e-05     -0.0014525638692291334     1.966152725670278e-05     
Lambda        AB|PS|PS_r                5020.438126499826     All      -0.00023646772843156433    -0.00010482219511891855    -0.0017181815540297603     -3.37932702245705e-05     
Lambda        AB|PS|PS_g                3953.3122052938947    All      -0.0007186647883020685     0.0004306637843692599      -0.0005966113928944081     0.000347750101578109      
MWEBV         All|All|All               All                   All      -0.5104003397985211        -3.109990596467327         0.013749858872211121       -0.8461584775255092       
Redshift      All|All|All               All                   All      6.076856298385063          -0.36277934243660326       2.7557843057670417         -1.9746231892285282       
