#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6988.366491351873     All      0.5027470104781819         -0.09469573846860868      -0.28586026029564504      -0.2073633891228971        
Zeropoint     AB|PS|PS_i                6080.83788111892      All      1.3332120339091804         0.04247933281558147       -0.11206053137396976      -0.4254348514305645        
Zeropoint     AB|PS|PS_r                5020.438126499826     All      -0.10142429802428787       0.5405495409831929        0.7945592884536001        0.24456953144157134        
Zeropoint     AB|PS|PS_g                3953.3122052938947    All      -0.7384810321157234        0.5099959428504164        -0.4030388531937934       0.3886842514913974         
Check         All|All|All               All                   All      0.9960537142473512         0.998329078180582         -0.006400356409808072     0.0004555423795071789      
Lambda        AB|PS|PS_z                6988.366491351873     All      -0.00028313659047933635    5.3952653970592165e-05    -7.32589970783065e-05     0.00010653184425087966     
Lambda        AB|PS|PS_i                6080.83788111892      All      -0.0003596616221350618     -0.0001142803947455212    -0.0017347128011638226    2.5164734951455627e-06     
Lambda        AB|PS|PS_r                5020.438126499826     All      -0.00024111097574968136    -6.408739009882026e-05    -0.0017209078203025002    -1.9133806426899496e-05    
Lambda        AB|PS|PS_g                3953.3122052938947    All      -0.0007670419863471008     0.0004988790104387759     -0.0005827696674386284    0.0003863457825233826      
MWEBV         All|All|All               All                   All      -0.508439177610311         -3.113789021592339        0.014799518495989261      -0.8479877231101232        
Redshift      All|All|All               All                   All      5.678514995942097          -0.7928916759944116       1.242076166904016         -2.0525219013259473        
