#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6611.09114808536      All      1.0169015664016299         -0.005262720725696113      0.5619149099178378        -0.3078768548757597       
Zeropoint     AB|SDSS|SDSS_g            4172.079315044157     All      -0.9221141133018764        0.71027743251868           -0.11052071528903085      0.5267915986403776        
Zeropoint     AB|SDSS|SDSS_u            3172.8102022056205    All      -0.046849019448552354      0.04591549347576773        0.18672639102734756       0.03854919494953313       
Zeropoint     AB|SDSS|SDSS_r            5451.660449386623     All      0.7954895432445535         0.2485568788944903         -0.81982312211899         -0.21473890295777356      
Zeropoint     AB|SDSS|SDSS_z            7860.036283422837     All      0.15141922150696588        0.001964165850409927       0.1949169198802947        -0.03998418163939921      
Check         All|All|All               All                   All      0.9948471984027206         1.0014512500136519         0.013214383417459175      0.0027408541169782474     
Lambda        AB|SDSS|SDSS_i            6611.09114808536      All      -0.00037811775454741855    -3.1940740574363765e-05    -0.0005774336430979753    8.699303090183458e-05     
Lambda        AB|SDSS|SDSS_g            4172.079315044157     All      -0.0008539660964066901     0.0003447866164314493      -0.0019960126571486364    0.00030140031883022026    
Lambda        AB|SDSS|SDSS_u            3172.8102022056205    All      -3.775752428122257e-05     3.6704850348361075e-05     0.00015103002483215017    3.099462150866066e-05     
Lambda        AB|SDSS|SDSS_r            5451.660449386623     All      0.0003025459759574223      6.738412949837195e-05      -0.0001357949783958142    -8.265985618868955e-05    
Lambda        AB|SDSS|SDSS_z            7860.036283422837     All      8.886463180871446e-06      3.6792426908028855e-06     4.120283716869269e-05     1.4253035897144567e-07    
MWEBV         All|All|All               All                   All      -0.7145925059173206        -3.4494966972147267        0.24200306591115606       -0.8800487854291785       
Redshift      All|All|All               All                   All      3.3474281547471385         -0.3365167034445449        4.068314426886133         -1.0184318507193104       
