#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4087.1684391912195    All      -0.839382781495971         0.5771549642155094         -0.3523230524351578        0.44569038681689377        
Zeropoint     AB|SDSS|SDSS_u            3108.2366232199665    All      -0.0463556476833569        0.03682573131715827        0.13288468634493622        0.033024944960837604       
Zeropoint     AB|SDSS|SDSS_r            5340.707318188699     All      0.8541767884877609         0.41146426613494214        0.14594867829407776        -0.13769301414544957       
Zeropoint     AB|SDSS|SDSS_i            6476.54108387557      All      0.930107105471034          -0.022918018726514333      0.009827752053129246       -0.3099930691095341        
Zeropoint     AB|SDSS|SDSS_z            7700.067472989463     All      0.0955172644317742         -0.001665708194487081      0.07363665759260452        -0.028369625581783214      
Check         All|All|All               All                   All      0.994062729211241          1.0008612347466084         0.009974721849589918       0.002659622940964529       
Lambda        AB|SDSS|SDSS_g            4087.1684391912195    All      -0.0008407382805841162     0.00035279335449316617     -0.0015743679528778057     0.0003185157086426785      
Lambda        AB|SDSS|SDSS_u            3108.2366232199665    All      -5.63793188988839e-05      4.2363904033191156e-05     0.00012373884419817193     3.768581256912854e-05      
Lambda        AB|SDSS|SDSS_r            5340.707318188699     All      0.0002451533562162302      9.11796893961814e-05       -0.0004914241117470266     -7.208428994442719e-05     
Lambda        AB|SDSS|SDSS_i            6476.54108387557      All      -0.00028628601165329033    -1.2116440384570876e-06    -0.00015692513819598428    8.585525201367537e-05      
Lambda        AB|SDSS|SDSS_z            7700.067472989463     All      5.103464068558862e-06      -1.0839597564464086e-06    4.177444052600916e-06      -1.8290273582406991e-06    
MWEBV         All|All|All               All                   All      -0.7174659798716321        -3.330073322039695         0.256101244638679          -0.8395835412549069        
Redshift      All|All|All               All                   All      6.523094305742733          -0.999360947839989         2.5893438540231544         -2.3347606337399185        
