#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4087.1684391912195    All      -0.8867285457675095        0.5599909921190971        -0.5286936124829373       0.4476509814255519        
Zeropoint     AB|SDSS|SDSS_u            3108.2366232199665    All      -0.06745752950754465       0.04632669843900317       0.1345526482931002        0.04306773314746011       
Zeropoint     AB|SDSS|SDSS_r            5340.707318188699     All      0.888901585409624          0.412031520492917         0.2576948767392665        -0.1438325299033966       
Zeropoint     AB|SDSS|SDSS_i            6476.54108387557      All      0.9494341490138075         -0.016719975661594333     0.059681272795345776      -0.31204488283467086      
Zeropoint     AB|SDSS|SDSS_z            7700.067472989463     All      0.10965571377920932        -0.0010781305451956769    0.08454880239930546       -0.03229663139925087      
Check         All|All|All               All                   All      0.9938053729275867         1.0005511048442273        0.007783987744080595      0.0025446704356936814     
Lambda        AB|SDSS|SDSS_g            4087.1684391912195    All      -0.0008271528852096736     0.0003218419796470908     -0.0015696207482202833    0.0003042204633063797     
Lambda        AB|SDSS|SDSS_u            3108.2366232199665    All      -5.470463639945161e-05     3.82956650998203e-05      0.00011400776252804919    3.538090064026536e-05     
Lambda        AB|SDSS|SDSS_r            5340.707318188699     All      0.00029545814496627153     9.567905152059958e-05     -0.000256843920041688     -7.653638778220953e-05    
Lambda        AB|SDSS|SDSS_i            6476.54108387557      All      -0.00032558097839728475    -6.69773330932386e-06     -0.0002387894066233525    9.321468937477576e-05     
Lambda        AB|SDSS|SDSS_z            7700.067472989463     All      2.105038863009487e-06      5.58588959355536e-07      1.1442731581789673e-05    6.906945619294595e-09     
MWEBV         All|All|All               All                   All      -0.717775190064458         -3.3302277472078146       0.28607840868054957       -0.8381953795290298       
Redshift      All|All|All               All                   All      6.688857180184362          -0.6748512080942959       3.9507441280091378        -2.2222985155509467       
