#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6519.219372366763     All      0.9023870489701846        -0.0005044105060747484     0.09638647595956115        -0.2898001668631269       
Zeropoint     AB|SDSS|SDSS_u            3128.718886450712     All      -0.096635909134311        0.043355793030208645       0.04619933914199692        0.047661567305203004      
Zeropoint     AB|SDSS|SDSS_g            4114.1015430657835    All      -0.8154531240899294       0.6088971435596946         -0.212422426605636         0.45447830462692246       
Zeropoint     AB|SDSS|SDSS_z            7750.808400400865     All      0.10015397190758803       -0.0008928455319079376     0.08899901231741428        -0.0289426556195473       
Zeropoint     AB|SDSS|SDSS_r            5375.9008334803975    All      0.9018205386420776        0.34950901299382053        -0.014881743384384137      -0.18057013827098298      
Check         All|All|All               All                   All      0.9922725262956097        1.000364693545741          0.004280657428952202       0.002826911178468311      
Lambda        AB|SDSS|SDSS_i            6519.219372366763     All      -0.0002483238398721252    -1.3220076301483673e-05    -0.00031496116910427463    6.252576006623971e-05     
Lambda        AB|SDSS|SDSS_u            3128.718886450712     All      -6.717944791361987e-05    3.042746648825379e-05      3.534762050077814e-05      3.337118514999357e-05     
Lambda        AB|SDSS|SDSS_g            4114.1015430657835    All      -0.000706174011645669     0.00035039999545304784     -0.0011622598440270743     0.00029229459559185916    
Lambda        AB|SDSS|SDSS_z            7750.808400400865     All      5.682348611989626e-07     3.274182403604685e-08      4.152140377708858e-06      1.0863255564559574e-08    
Lambda        AB|SDSS|SDSS_r            5375.9008334803975    All      0.0001816409819656438     5.5809870091153424e-05     -0.0009759487572465539     -8.453944352354016e-05    
MWEBV         All|All|All               All                   All      -0.7741916460883354       -3.370201665154937         0.12513069465957768        -0.8400218612046383       
Redshift      All|All|All               All                   All      5.21791385377246          -0.5474316229509668        4.782126768336008          -1.6645583418441023       
