#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6519.219372366763     All      0.8494778800726187        0.028591793322974013       0.2079184463363637         -0.25811115947933644      
Zeropoint     AB|SDSS|SDSS_u            3128.718886450712     All      -0.1088667631483406       0.054179645206708926       0.09941494367482484        0.0575460116086321        
Zeropoint     AB|SDSS|SDSS_g            4114.1015430657835    All      -0.7408463725817285       0.5463904602835967         -0.3455495115862739        0.40387509764755886       
Zeropoint     AB|SDSS|SDSS_z            7750.808400400865     All      0.08753864207564309       0.0014000658016044554      0.07377153641832113        -0.024766083317501186     
Zeropoint     AB|SDSS|SDSS_r            5375.9008334803975    All      0.9048728991364698        0.36943442958019546        -0.032855062195258355      -0.1758760954648289       
Check         All|All|All               All                   All      0.9921762855546624        0.9999963941950796         0.002700352647977411       0.002667770994524421      
Lambda        AB|SDSS|SDSS_i            6519.219372366763     All      -0.0003449743335329385    -2.076438730846667e-05     -0.00031107781939251975    9.172387132498261e-05     
Lambda        AB|SDSS|SDSS_u            3128.718886450712     All      -3.975026680900101e-05    2.261409524889206e-05      6.08745323318263e-05       2.3030675240180222e-05    
Lambda        AB|SDSS|SDSS_g            4114.1015430657835    All      -0.0005220211608605015    0.00016276535429650768     -0.0013736636482317612     0.0001617571971821687     
Lambda        AB|SDSS|SDSS_z            7750.808400400865     All      -2.389378858039133e-06    -1.4130825706949646e-06    -1.618525294777546e-05     -4.042616828993712e-07    
Lambda        AB|SDSS|SDSS_r            5375.9008334803975    All      5.3219539713537174e-05    1.749977237384381e-05      -0.001143374605081547      -6.265866066314832e-05    
MWEBV         All|All|All               All                   All      -0.8365247080046738       -3.342556704292754         0.12960817328295793        -0.8105132496900049       
Redshift      All|All|All               All                   All      5.624242181025367         0.42216097211085213        7.678192537710915          -1.351846524836521        
