#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7501.716982709908    All      0.32848612732721033        -0.032719502408617984      0.10042427743948146        -0.1131750826471073       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6135.605304313814    All      1.091867781883271          -0.0292085098408279        0.09140544445631615        -0.36109242535295877      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3545.912781890645    All      -0.334211383974681         0.11476432551393856        -0.07751109884561735       0.14278719509666776       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4739.920635654864    All      -0.23424059064401465       0.465118409189369          0.22244602701084748        0.2377309790012605        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5301.023309648998    All      0.6240112868920576         0.19162426400027854        -0.11282155458380849       -0.14587738627679508      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4338.972176335584    All      -0.4814860871961209        0.2884618490594626         -0.22359616053770903       0.240819303668377         
Check         All|All|All                              All                  All      0.9944271342877222         0.9980408355136028         0.0003469349395102128      0.0011925834894441212     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7501.716982709908    All      -4.288978345864297e-05     -7.823085295444535e-07     -8.311698758908092e-05     1.000666046560079e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6135.605304313814    All      -0.0001748173383775692     3.575771831757761e-06      -0.00011122701778988371    5.3144953997430916e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3545.912781890645    All      -0.00022864834999222864    5.227723585305034e-05      -4.0980872812396634e-05    8.967791735178522e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4739.920635654864    All      -0.00011467317271705345    -0.00012088819835115283    -0.0008361791304785655     -3.933927247871755e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5301.023309648998    All      0.00010948238892088782     1.0307146843425165e-06     -0.0008386879840737359     -7.275307102757236e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4338.972176335584    All      -0.000266802702452101      4.305532911961282e-05      -0.0006665361651172457     7.118650715004924e-05     
MWEBV         All|All|All                              All                  All      -1.0900837801020855        -3.9597792760748263        -0.013756719637791903      -0.9353681324309832       
Redshift      All|All|All                              All                  All      5.728581242671073          1.2334015700169232         7.175601249379127          -1.1440137789867133       
