#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7501.716982709908    All      0.3412832344010451         -0.040778510115657696     0.06884717509776604        -0.12137774642615923      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6135.605304313814    All      1.0901263482154064         -0.050178780749288165     0.0098134899553612         -0.37099696444326064      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3545.912781890645    All      -0.2939158913292864        0.10924936705745125       -0.058280221177291765      0.12872340979982042       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4739.920635654864    All      -0.2756844825002526        0.46723903132068756       0.11037895222126676        0.2469203355945452        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5301.023309648998    All      0.6257583727418206         0.20444890241471114       0.009846750869020725       -0.1367949398886168       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4338.972176335584    All      -0.4937041628951828        0.3082160127551248        -0.14073270703949875       0.2549315292462203        
Check         All|All|All                              All                  All      0.9938634186335501         0.9981960226830289        -0.00012656007337577546    0.0014056238825492784     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7501.716982709908    All      -6.112124909094665e-05     -5.397390508973558e-06    -0.00015230567469154201    1.1354391253821447e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6135.605304313814    All      -0.0002011016810820096     -2.186867986316036e-05    -0.00044021877551517593    3.8737142988035886e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3545.912781890645    All      -0.0004776208060498134     0.00013297229824569843    -0.00023090302952159672    0.00018858612027721598    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4739.920635654864    All      -0.0001420478334087564     -7.627980481479633e-05    -0.0008450449664528327     -1.628766508471596e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5301.023309648998    All      0.00018427030824072656     1.769519561811089e-05     -0.0007233641566190768     -8.653941435812026e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4338.972176335584    All      -0.00029024102999592306    9.480430152475638e-05     -0.00044992085965124367    0.00010534403053695736    
MWEBV         All|All|All                              All                  All      -1.0582079961982669        -3.967749303993884        -0.02265812108970724       -0.9487444528941066       
Redshift      All|All|All                              All                  All      5.894811846505075          0.6122841382149247        4.876394236077103          -1.5030819863021456       
