#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7760.098614806203     All      0.13905559659981126        -0.0011961188505438258     0.12957793049684918        -0.03990212995839959      
Zeropoint     AB|SDSS|SDSS_r            5382.344454427379     All      0.7815745382320909         0.39531442212439316        -0.11909367175375052       -0.13113223098956406      
Zeropoint     AB|SDSS|SDSS_g            4119.0327558433355    All      -0.7652831038800465        0.5239122637830107         -0.4375937571594435        0.4004055449290597        
Zeropoint     AB|SDSS|SDSS_u            3132.4690074403693    All      -0.12041941298221394       0.08341168285106448        0.20016425776054336        0.07532690525943742       
Zeropoint     AB|SDSS|SDSS_i            6527.03338899522      All      0.9564043091367832         -0.0008263266749963805     0.22967708802983378        -0.3015520764663493       
Check         All|All|All               All                   All      0.991331927106425          1.0006159232329281         0.0027318473740323146      0.0031460127741841926     
Lambda        AB|SDSS|SDSS_z            7760.098614806203     All      -5.24059751362014e-06      4.3242520293500026e-07     -5.485084760560067e-06     1.6031159949050201e-06    
Lambda        AB|SDSS|SDSS_r            5382.344454427379     All      4.239224786698571e-05      9.357417967682758e-06      -0.0014096016849186252     -7.366458004337285e-05    
Lambda        AB|SDSS|SDSS_g            4119.0327558433355    All      -0.0004882001083885034     0.00020728942511562644     -0.000979903809376394      0.00018281521551125857    
Lambda        AB|SDSS|SDSS_u            3132.4690074403693    All      -6.769151653405214e-05     3.5323555298171574e-05     4.7272999681023465e-05     3.566497484968207e-05     
Lambda        AB|SDSS|SDSS_i            6527.03338899522      All      -0.00035512687385548465    -2.7662280058984698e-05    -0.00044530842438394503    8.679392171201938e-05     
MWEBV         All|All|All               All                   All      -0.807726386772043         -3.3588109354734996        0.05748912924806726        -0.8284066899004794       
Redshift      All|All|All               All                   All      5.673582313350348          0.2559401918002635         7.324408938581117          -1.43784954298517         
